Ligand_ID,NoPd_R_NBO_min,NoPd_R_NBO_max,NoPd_R_NBO_avg,NoPd_Rback_NBO_min,NoPd_Rback_NBO_max,NoPd_P_NMR_min,NoPd_P_NMR_max,NoPd_P_NMR_avg,NoPd_aniso_P_NMR_min,NoPd_aniso_P_NMR_max,NoPd_aniso_P_NMR_avg,NoPd_P_NBO_min,NoPd_P_NBO_max,NoPd_P_NBO_avg,NoPd_P_LP_occ_min,NoPd_P_LP_occ_max,NoPd_P_LP_occ_avg,NoPd_P_LP_eng_min,NoPd_P_LP_eng_max,NoPd_P_LP_eng_avg,NoPd_P_R_bond_occ_min,NoPd_P_R_bond_occ_max,NoPd_P_R_bond_occ_avg,NoPd_P_R_bond_eng_min,NoPd_P_R_bond_eng_max,NoPd_P_R_bond_eng_avg,NoPd_P_R_antibond_occ_min,NoPd_P_R_antibond_occ_max,NoPd_P_R_antibond_occ_avg,NoPd_P_R_antibond_eng_min,NoPd_P_R_antibond_eng_max,NoPd_P_R_antibond_eng_avg,NoPd_P_RBack_bond_occ_min,NoPd_P_RBack_bond_occ_max,NoPd_P_RBack_bond_occ_avg,NoPd_P_RBack_bond_eng_min,NoPd_P_RBack_bond_eng_max,NoPd_P_RBack_bond_eng_avg,NoPd_P_RBack_antibond_occ_min,NoPd_P_RBack_antibond_occ_max,NoPd_P_RBack_antibond_occ_avg,NoPd_P_RBack_antibond_eng_min,NoPd_P_RBack_antibond_eng_max,NoPd_P_RBack_antibond_eng_avg,NoPd_LP_P_s_min,NoPd_LP_P_s_max,NoPd_LP_P_s_avg,quadrants_3.0_Ang_min,quadrants_3.0_Ang_max,quadrants_3.0_Ang_avg,quadrants_4.0_Ang_min,quadrants_4.0_Ang_max,quadrants_4.0_Ang_avg,quadrants_5.0_Ang_min,quadrants_5.0_Ang_max,quadrants_6.0_Ang_min,quadrants_6.0_Ang_max,quadrants_7.0_Ang_min,octants_3.0_Ang_min,octants_3.0_Ang_max,octants_3.0_Ang_avg,octants_4.0_Ang_min,octants_4.0_Ang_max,octants_5.0_Ang_min,octants_5.0_Ang_max,octants_6.0_Ang_min,Homo,Lumo,dipole,bite_angle,NoPd_Homo,NoPd_Lumo,NoPd_dipole,pol,TSNE1,TSNE2,PC1,PC2,PC3,PC4,PC5,tsne_ward_clusters,pca_kmeans_clusters
8,-0.34125,-0.31732,-0.33011,-0.72203,-0.707,312.1456,314.8549,313.50025,51.6072,80.8406,66.2239,0.81558,0.82453,0.820055,1.88801,1.89065,1.88933,-0.34791,-0.34617,-0.34704,1.95241,1.96021,1.956865,-0.57406,-0.55987,-0.56529,0.0333,0.04822,0.0404175,0.22552,0.23615,0.231695,1.95608,1.96055,1.958315,-0.54057,-0.5378,-0.539185,0.02923,0.03453,0.03188,0.19885,0.20047,0.19966,45.36,45.8,45.58,49.7020262216925,61.7252681764005,54.3718340286055,51.8000124138787,61.066972875675,54.5954627273292,49.1682696855981,57.1379016744978,39.939226268765,52.8155471903488,30.3160028008175,10.8089988081049,29.8644219308701,17.3700089392133,10.8093848923096,28.2912295946869,8.21008482860837,22.4669672984138,7.05065989387274,-0.23309,-0.07445,10.4377,97.362434682975,-0.19741,-0.03598,1.4598,453.32,-20.568312,-7.0609355,3.07678840466011,1.98887188420391,-2.63152315874908,-1.6665258167590995,0.3462051351139679,6,11
10,-0.47663,-0.46551,-0.4729575,-0.31567,-0.31541,303.8823,313.7372,308.80975,63.2804,69.2206,66.2505,0.75282,0.75865,0.755735,1.9209,1.92105,1.920975,-0.33655,-0.33212,-0.334335,1.95164,1.9571,1.95399,-0.51361,-0.50042,-0.505175,0.04559,0.05119,0.04803,0.19931,0.20713,0.2033425,1.96028,1.96075,1.960515,-0.55641,-0.54924,-0.552825,0.04265,0.04465,0.04365,0.22376,0.23216,0.22796,46.38,47.03,46.705,51.6016090584029,62.3696364719905,57.5405989272944,53.235367140463,64.2325119483583,59.592436844392,50.2861782977516,60.8700450947621,44.2940722935281,48.4842850015874,32.2552273387111,12.5074493444577,27.1528605482717,20.4279648390942,11.9638756129353,30.5319347029979,8.00826211724638,27.1309640187947,4.88094698172253,-0.23727,-0.06524,12.1328,88.7583106432062,-0.17599,-0.03111,1.7517,342.79,-12.648036,11.468397,1.514588833171615,3.0025909878358568,-3.6667818669909296,0.948704445130423,-2.1768935284806887,1,7
12,-0.33929,-0.28866,-0.3122025,-0.48143,-0.29423,292.8097,299.7692,296.28945,28.1574,115.1535,71.65545,0.83558,0.83741,0.836495,1.8761,1.90497,1.890535,-0.37093,-0.34319,-0.35706,1.94618,1.95159,1.9487775,-0.58108,-0.55846,-0.5720925,0.03479,0.04927,0.0407275,0.19393,0.23178,0.21357,1.93994,1.95255,1.946245,-0.56903,-0.53278,-0.550905,0.04172,0.04539,0.043555,0.16036,0.22324,0.1918,43.79,47.47,45.63,60.4849523241955,65.6920441001192,62.1359132896305,61.0266277698467,67.9396064800447,63.7150083793681,57.4579798807985,66.2554003342689,52.5438795410223,57.6697355889156,43.5535656341973,23.2121573301549,33.0825387365912,27.992774135876,23.0401588976476,36.2485258519024,18.1009744252783,34.0087036044275,12.6545421561069,-0.23489,-0.0949,9.2902,98.3938057614909,-0.2117,-0.0706,4.0668,624.49,5.5692353,25.494967,-2.667354815023424,2.553881425065025,2.3706120193546707,-3.3238799914814914,1.519656250767707,4,0
14,-0.32679,-0.31583,-0.32123,-0.34956,-0.33674,302.039,313.7735,307.90625,33.3123,56.2614,44.78685,0.86723,0.89113,0.87918,1.86036,1.88802,1.87419,-0.37922,-0.363,-0.37111,1.95155,1.95331,1.9526975,-0.60607,-0.59228,-0.5988275,0.03792,0.04825,0.0418075,0.18859,0.19874,0.191825,1.94376,1.95224,1.948,-0.61452,-0.60675,-0.610635,0.04021,0.04098,0.040595,0.19667,0.20841,0.20254,42.24,44.4,43.32,49.8025923718713,64.2841179976162,57.8264675208582,50.5229346409286,64.4621687046118,58.3165228725715,49.088644319006,64.494181829649,47.7105537666107,65.6079640800036,46.1682312154523,12.1722288438617,32.3376042908224,22.2400178784267,13.8073366023214,31.605735211967,13.552079719971,33.7327741162373,14.3970248083813,-0.25335,-0.10973,12.0414,102.39542808813,-0.23134,-0.08159,4.0201,795.29,12.546418,-18.322828,1.396089519107491,1.802892506374382,4.8230545670355625,-5.823898707669165,0.0598485706085469,9,2
16,-0.33863,-0.28685,-0.3138125,-0.47879,-0.28835,292.7226,304.8875,298.80505,19.6218,116.3234,67.9726,0.84188,0.84261,0.842245,1.8711,1.89598,1.88354,-0.36804,-0.33012,-0.34908,1.94674,1.95259,1.9490625,-0.5829,-0.55695,-0.5701275,0.03552,0.05032,0.041495,0.19241,0.24158,0.2196375,1.94043,1.95197,1.9462,-0.56335,-0.53281,-0.54808,0.04397,0.04568,0.044825,0.16115,0.22848,0.194815,42.74,47.41,45.075,59.8145113230036,67.9193980929678,63.7067938021454,60.2507603500714,70.3075538451989,65.0467848054124,57.9239065308568,68.3067389864716,54.4564379336931,60.1673545285501,48.2153327678566,20.7389749702026,36.5762812872467,29.2982717520858,21.1998013779405,40.9316615976662,18.8972280911986,37.4428431774463,16.7263821488503,-0.23156,-0.09047,10.2859,97.0911204948067,-0.20083,-0.07033,3.1133,716.98,5.608434,25.481747,-3.592779024265789,1.4703134708429488,2.5607606466823776,-2.397976264899077,1.8450153600791936,4,0
18,-0.33298,-0.3269,-0.3299425,-0.30702,-0.30701,294.3365,294.3614,294.34895,53.1219,53.1343,53.1281,0.84596,0.84596,0.84596,1.86809,1.8681,1.868095,-0.32595,-0.32595,-0.32595,1.95165,1.95506,1.953355,-0.5637,-0.55852,-0.5611125,0.03762,0.0443,0.04096,0.24082,0.24129,0.2410575,1.94972,1.94973,1.949725,-0.55436,-0.55436,-0.55436,0.04395,0.04395,0.04395,0.23468,0.23469,0.234685,42.91,42.91,42.91,55.8067640047676,59.4830154946365,57.6458209177592,54.2145118242195,59.9838619576687,57.0984110235243,49.4118760051717,56.4102361956419,45.062361104812,50.254433307633,38.0928254669452,15.4424910607867,34.7139451728248,25.0800804529201,12.230774005338,35.1498975855006,7.12371101510517,29.9060263000221,4.43829652138419,-0.22368,-0.08049,12.7688,95.2442169763268,-0.18519,-0.03085,1.98,532.07,0.13190141,-6.38438,0.9078003231279228,-2.757382262930511,-0.2560428512079027,0.2378239068243161,-1.2358906182479086,8,10
19,-0.34969,-0.3328,-0.3403675,-0.51629,-0.51615,294.2357,297.2444,295.74005,34.1931,39.5611,36.8771,0.86306,0.8648,0.86393,1.85512,1.86034,1.85773,-0.32097,-0.31758,-0.319275,1.95567,1.96068,1.9581375,-0.56961,-0.5679,-0.56881,0.0398,0.04181,0.040775,0.23477,0.24592,0.2406875,1.95048,1.95519,1.952835,-0.55389,-0.55032,-0.552105,0.04721,0.04815,0.04768,0.2123,0.21329,0.212795,40.98,41.47,41.225,45.2473182359952,57.3562276519666,51.121126340882,44.8978958475576,56.8943578921234,50.8654801067594,43.3926713127937,51.9157390180064,40.0498888838496,45.5340378248447,33.2474681634721,7.97824791418355,16.9398092967819,12.0958730631704,9.41282353671405,15.604245546521,9.47620699441834,11.3383368547192,6.66424781169214,-0.23051,-0.074,11.8391,89.9451902787462,-0.19012,-0.03206,1.8932,442.44,-21.56576,-3.30624,5.684425255307303,-3.2213010203559667,-1.1615540020871602,-0.412782639472607,0.2889627160175925,6,1
22,-0.48482,-0.47352,-0.4791625,-0.32263,-0.3226,297.4549,297.5232,297.48905,63.0102,63.0524,63.0313,0.81128,0.81131,0.811295,1.92483,1.92485,1.92484,-0.34962,-0.3496,-0.34961,1.94624,1.96079,1.953515,-0.50366,-0.49616,-0.49991,0.03492,0.04848,0.0417,0.2027,0.20872,0.205705,1.95267,1.95268,1.952675,-0.57175,-0.57174,-0.571745,0.03384,0.03384,0.03384,0.2444,0.24442,0.24441,48.59,48.59,48.59,48.8825983313468,59.9188021454112,54.4053560786651,52.1491527527776,62.0647383775061,57.1061696977221,49.4315852543282,57.052757718142,42.4032835956279,45.8034377976326,31.9065483340259,15.2935041716329,25.0968414779499,20.1951728247914,17.3297746881013,26.6277698466886,13.555233199836,21.4673141811989,8.48655267812599,-0.24091,-0.07325,11.5494,101.923146514724,-0.187,-0.00368,1.2848,353.22,-14.594876,12.694825,1.5268561949156547,3.797119235682156,-3.5867955908638973,0.4151968908765791,-3.34551157744422,1,7
23,-0.33754,-0.32711,-0.332225,-0.28258,-0.28063,291.8293,292.9645,292.3969,50.1698,50.8774,50.5236,0.84252,0.84385,0.843185,1.86181,1.86297,1.86239,-0.32355,-0.32333,-0.32344,1.95072,1.95485,1.9528225,-0.56187,-0.55568,-0.558775,0.03577,0.04531,0.040535,0.24327,0.24601,0.24469,1.95072,1.9508,1.95076,-0.54816,-0.54758,-0.54787,0.04505,0.04532,0.045185,0.2312,0.23122,0.23121,42.77,42.77,42.77,55.6391537544696,58.1980035756853,56.9921409415971,54.4907206256595,58.8309229718826,56.6829340202346,49.4796758222699,55.4066412285958,44.9965984851921,49.4924939906572,37.6749799331675,17.5730035756853,33.1942789034565,25.3668802145411,14.6763081124697,34.0357519707033,8.69729746775567,28.7849642080035,5.37348632591047,-0.22511,-0.08142,14.5,94.3433997015777,-0.18701,-0.03086,3.7061,534.19,-1.8900306,-5.4259977,1.0377454218141149,-3.100221169721745,-0.3012839296457724,-0.0180850038667753,-1.2136035691383866,8,10
24,-0.33406,-0.32589,-0.3299775,-0.2786,-0.27859,293.7086,293.7168,293.7127,55.3029,55.3195,55.3112,0.84414,0.84415,0.844145,1.8643,1.86431,1.864305,-0.32141,-0.32141,-0.32141,1.95162,1.95528,1.95345,-0.56254,-0.5553,-0.5589225,0.03557,0.04432,0.039945,0.2435,0.24724,0.2453725,1.9497,1.95004,1.94987,-0.5475,-0.54697,-0.547235,0.04595,0.047,0.046475,0.23372,0.23439,0.234055,42.58,42.58,42.58,55.4938915375447,59.9932955899881,57.741731227652,54.060890075104,60.4602445534107,57.2605673142573,49.293620510233,56.9376557030683,45.075513628736,50.604109029888,38.3125643988774,15.2786054827175,35.4737783075089,25.3743295589988,12.2276705356589,35.5812798708957,7.12844123490271,30.2702532244332,4.40927026168987,-0.22336,-0.07955,13.9113,94.9903127537505,-0.18711,-0.02706,3.2826,524.63,-1.1742394,-4.5383925,0.8726679999225858,-3.410214113701656,-0.2351165475574045,0.3888329281062282,-0.9788562212888992,8,10
