Ligand_ID,Unnamed: 0_Boltz,Unnamed: 0_min,Unnamed: 0_max,Unnamed: 0_low_E,HOMO_Boltz,HOMO_min,HOMO_max,HOMO_low_E,LUMO_Boltz,LUMO_min,LUMO_max,LUMO_low_E,η_Boltz,η_min,η_max,η_low_E,μ_Boltz,μ_min,μ_max,μ_low_E,ω_Boltz,ω_min,ω_max,ω_low_E,dipole(Debye)_Boltz,dipole(Debye)_min,dipole(Debye)_max,dipole(Debye)_low_E,NBO_charge_Cl1_Boltz,NBO_charge_Cl1_min,NBO_charge_Cl1_max,NBO_charge_Cl1_low_E,NBO_charge_Cl2_Boltz,NBO_charge_Cl2_min,NBO_charge_Cl2_max,NBO_charge_Cl2_low_E,NBO_charge_P1_Boltz,NBO_charge_P1_min,NBO_charge_P1_max,NBO_charge_P1_low_E,NBO_charge_P2_Boltz,NBO_charge_P2_min,NBO_charge_P2_max,NBO_charge_P2_low_E,NBO_charge_Pd_Boltz,NBO_charge_Pd_min,NBO_charge_Pd_max,NBO_charge_Pd_low_E,NMR_shift_P1_Boltz,NMR_shift_P1_min,NMR_shift_P1_max,NMR_shift_P1_low_E,NMR_shift_P2_Boltz,NMR_shift_P2_min,NMR_shift_P2_max,NMR_shift_P2_low_E,aniso_NMR_shift_P1_Boltz,aniso_NMR_shift_P1_min,aniso_NMR_shift_P1_max,aniso_NMR_shift_P1_low_E,aniso_NMR_shift_P2_Boltz,aniso_NMR_shift_P2_min,aniso_NMR_shift_P2_max,aniso_NMR_shift_P2_low_E,distance_Pd_Cl1(Å)_Boltz,distance_Pd_Cl1(Å)_min,distance_Pd_Cl1(Å)_max,distance_Pd_Cl1(Å)_low_E,distance_Pd_Cl2(Å)_Boltz,distance_Pd_Cl2(Å)_min,distance_Pd_Cl2(Å)_max,distance_Pd_Cl2(Å)_low_E,distance_Pd_P1(Å)_Boltz,distance_Pd_P1(Å)_min,distance_Pd_P1(Å)_max,distance_Pd_P1(Å)_low_E,distance_Pd_P2(Å)_Boltz,distance_Pd_P2(Å)_min,distance_Pd_P2(Å)_max,distance_Pd_P2(Å)_low_E,%Vbur_Pd_3Å_Boltz,%Vbur_Pd_3Å_min,%Vbur_Pd_3Å_max,%Vbur_Pd_3Å_low_E,%Vbur_Pd_4Å_Boltz,%Vbur_Pd_4Å_min,%Vbur_Pd_4Å_max,%Vbur_Pd_4Å_low_E,%Vbur_Pd_5Å_Boltz,%Vbur_Pd_5Å_min,%Vbur_Pd_5Å_max,%Vbur_Pd_5Å_low_E,%Vbur_Pd_6Å_Boltz,%Vbur_Pd_6Å_min,%Vbur_Pd_6Å_max,%Vbur_Pd_6Å_low_E,%Vbur_Pd_7Å_Boltz,%Vbur_Pd_7Å_min,%Vbur_Pd_7Å_max,%Vbur_Pd_7Å_low_E,Bite_angle_Pd(°)_Boltz,Bite_angle_Pd(°)_min,Bite_angle_Pd(°)_max,Bite_angle_Pd(°)_low_E,%G_param_Pd_Boltz,%G_param_Pd_min,%G_param_Pd_max,%G_param_Pd_low_E,Solid_angle_Pd(sr)_Boltz,Solid_angle_Pd(sr)_min,Solid_angle_Pd(sr)_max,Solid_angle_Pd(sr)_low_E,Solid_cone_angle_Pd(°)_Boltz,Solid_cone_angle_Pd(°)_min,Solid_cone_angle_Pd(°)_max,Solid_cone_angle_Pd(°)_low_E,volume(Bohr_radius³/mol)_Boltz,volume(Bohr_radius³/mol)_min,volume(Bohr_radius³/mol)_max,volume(Bohr_radius³/mol)_low_E,SASA_Pd_surface_area(Å²)_Boltz,SASA_Pd_surface_area(Å²)_min,SASA_Pd_surface_area(Å²)_max,SASA_Pd_surface_area(Å²)_low_E
pp000067,4.893484190110181,0.0,9.0,7.0,-0.22144445970598925,-0.22454,-0.21926,-0.22358,-0.04193399521682906,-0.04822,-0.04131,-0.04145,0.17951046448916017,0.17335,0.18213,0.18213,-0.13168922746140915,-0.135655,-0.130285,-0.132515,0.04831355091588022,0.04769,0.05253,0.04821,10.985422268786515,10.8988,11.1722,11.028,-0.5672661135797139,-0.57182,-0.55551,-0.56536,-0.5629204683477608,-0.56639,-0.55395,-0.56183,1.0952590837572083,1.08573,1.11802,1.08573,1.100154486527459,1.07925,1.10416,1.09936,0.2915917729489017,0.28765,0.29724,0.28765,190.6558001611022,181.8254,206.5942,186.3978,197.69496911763898,186.8132,207.8228,201.4399,96.55035969349721,79.8285,122.9204,79.8285,107.23548223851604,100.2774,115.7663,115.7663,2.241727637276709,2.24009,2.2476,2.24287,2.2428447587647886,2.2411,2.24647,2.24484,2.315230086196421,2.31195,2.32534,2.31195,2.316729922849978,2.30988,2.32581,2.31499,60.87712396552122,59.6636620977354,62.7728322407628,61.0008194278903,62.64262494163037,61.181025386382,64.1487182670225,62.6703028986407,57.96144037735884,56.1157800132446,58.8949812367948,58.2627085238561,44.595436897386,44.1225225633816,44.8582702163363,44.7628010340605,30.087770605943383,29.9607060109414,30.1391015751752,30.0392655254664,87.45612633271911,86.6275294787831,89.74156173397,87.3640656563542,60.33604548393579,58.8254018780837,61.499283781633,60.6875696323412,7.582051089559694,7.3922180153862,7.72822792517648,7.62622491684729,203.86168183653828,200.332857058086,206.5924568272,204.684569135517,3554.913464612406,3145.926,4252.145,3208.622,27.554415081432893,25.0196814437314,28.5996358629384,27.7196470671557
pp000085,10.0,10.0,15.0,10.0,-0.14931,-0.14931,-0.11576,-0.14931,-0.05151,-0.05344,-0.04793,-0.05151,0.0978,0.06783,0.0978,0.0978,-0.10041,-0.10041,-0.081845,-0.10041,0.05154,0.04938,0.05376,0.05154,7.8749,7.8749,8.7996,7.8749,-0.53558,-0.54651,-0.5286,-0.53558,-0.53808,-0.54601,-0.5366,-0.53808,1.0985,1.08755,1.11403,1.0985,1.0968,1.08133,1.11913,1.0968,0.32279,0.31539,0.32279,0.32279,340.117,281.6973,388.2176,340.117,344.1413,129.9831,383.8595,344.1413,183.4281,183.4281,310.2396,183.4281,204.4724,199.1383,263.1661,204.4724,2.25276,2.25276,2.25797,2.25276,2.25298,2.25298,2.261,2.25298,2.34414,2.32969,2.34967,2.34414,2.3441,2.33188,2.35327,2.3441,67.9501266388558,62.9851385578069,67.9501266388558,67.9501266388558,70.0328967785985,65.5642883744026,70.0328967785985,70.0328967785985,65.654859512472,60.7571110970956,65.654859512472,65.654859512472,53.0480974193841,51.6080094335344,53.0480974193841,53.0480974193841,38.021381850475,37.8366531369725,38.0534033917216,38.021381850475,102.623152563902,102.139354675613,104.677153286882,102.623152563902,67.4916441190514,63.8946363202292,67.4916441190514,67.4916441190514,8.48125013372435,8.02923680269694,8.48125013372435,8.48125013372435,220.954187596369,212.268952427472,220.954187596369,220.954187596369,4186.937,4011.417,4750.308,4186.937,18.4997644567958,18.4997644567958,22.0797188760028,18.4997644567958
pp000091,28.89767507546939,16.0,39.0,27.0,-0.2172843085114641,-0.22062,-0.2141,-0.21696,-0.05208058743364444,-0.05405,-0.0489,-0.05221,0.16520372107781967,0.16368,0.17116,0.16475,-0.13468244797255427,-0.137335,-0.13214,-0.134585,0.05490687424125616,0.05273,0.05662,0.05497,10.715341289132219,10.0737,10.8498,10.8498,-0.5467867126691165,-0.56014,-0.54261,-0.54261,-0.5468897513919966,-0.55675,-0.54227,-0.54886,1.1253330495374758,1.10743,1.12952,1.12952,1.1191617123649795,1.11494,1.12953,1.11494,0.28344236021805524,0.27324,0.29517,0.28146,263.4868849541339,250.4611,275.7176,262.1987,274.1642352741535,250.0027,276.9535,276.9464,89.93940596922242,58.0654,107.23,96.2547,57.507445374551324,51.1671,108.1807,51.224,2.247119316418061,2.23914,2.25107,2.24925,2.2517579004321098,2.24018,2.25511,2.25203,2.323468678380374,2.30865,2.33504,2.3248,2.3224138293701353,2.3158,2.32925,2.31852,55.200061468217314,54.2302964839094,58.4149657330155,54.6185935637664,56.04023455170808,55.3399075166036,58.487601638632,55.6300819315995,52.45885042293653,52.0645438491375,53.9138626974867,52.2139399577434,43.49771728191533,43.1774683659123,44.5297972697175,43.3391537031158,33.00807409964031,32.7278652875107,33.4134820650905,32.9646112157939,92.62767063354099,88.8976689333914,93.1817328843134,93.1817328843134,53.58647929443179,52.8807894318001,56.0639821741207,53.1513608148973,6.733875587325143,6.64519598379888,7.04520778116826,6.67919698657528,188.22836735787516,186.605941311854,193.931920371895,187.227177282507,3933.4306667621627,3112.926,4522.207,4015.247,33.59117687202818,29.2696273324548,34.8495562875316,34.4295616349989
pp000110,43.16307062336378,40.0,47.0,45.0,-0.21430128556021732,-0.2164,-0.15975,-0.21329,-0.05248965217290588,-0.05752,-0.0501,-0.05111,0.16181163338731144,0.10654,0.1643,0.16218,-0.13339546886656162,-0.13678,-0.10648,-0.1322,0.055019560664339495,0.05321,0.05899,0.05388,10.131132586223655,8.8291,10.625,10.5197,-0.5185290731040817,-0.54306,-0.51456,-0.51803,-0.5509131024355608,-0.55254,-0.52371,-0.55116,1.0692786938197378,1.06827,1.08013,1.06882,1.114243222564823,1.10288,1.11651,1.11476,0.3259883828197271,0.31576,0.33014,0.32438,282.26138537280553,270.78,292.9194,281.0536,214.04985704602592,213.4916,221.656,213.8043,147.03026014565077,83.5404,171.5496,157.1072,115.49651157659642,99.9468,117.1138,116.781,2.244292612765126,2.24096,2.25818,2.24655,2.2553902192026762,2.24528,2.25687,2.25644,2.3487636139504455,2.33885,2.35957,2.3454,2.357829332459112,2.35189,2.37084,2.35769,66.94798635405058,66.6250744934446,67.4351907032181,66.9332911203814,68.02167426119188,67.8946061696977,68.8031469182546,67.9225373968096,64.46320784599831,64.1297578127464,65.1337469647756,64.4015483586137,54.26209703685602,53.9728559118327,54.4907932332532,54.2670869427185,39.71346551031048,39.5845311761726,39.7598669042428,39.7428599078918,99.06527178118776,98.4965586621251,101.499201264569,98.8910587162988,67.29983068796479,67.1574088811078,68.0407448671017,67.1653668629636,8.457146147085878,8.43924889500056,8.55025216877056,8.44024892449398,220.4858318404791,220.137589130849,222.300500178454,220.157007079366,4129.9657141801545,3888.981,4920.69,3888.981,20.27556062466556,19.2397550350676,20.7997351730461,20.4297398839102
pp000135,64.2547537481408,48.0,77.0,73.0,-0.21780388186593524,-0.22152,-0.21004,-0.21857,-0.06633431673589572,-0.07083,-0.06405,-0.06636,0.15146956513003954,0.14224,0.15335,0.15221,-0.1420690993009155,-0.144845,-0.138775,-0.142465,0.06663507595591905,0.06445,0.07084,0.06667,9.893524621171712,9.234,12.8945,9.8171,-0.5718658340384999,-0.57777,-0.55616,-0.57497,-0.5749818717007565,-0.58115,-0.55945,-0.5747,1.0961050506988286,1.0746,1.10287,1.09714,1.1472221749471747,1.13736,1.15269,1.14828,0.29455109240328153,0.29066,0.3117,0.29066,182.62221951669827,178.6108,197.5881,182.245,237.61099033752902,229.4852,245.0014,236.7858,106.00602427375819,90.1667,120.6502,106.1791,116.47249850744555,82.5725,138.4574,114.0303,2.2452035939396593,2.23796,2.25075,2.24409,2.24331589144286,2.23852,2.24885,2.24329,2.303002262960834,2.29896,2.31738,2.30369,2.3208926528102825,2.30782,2.33026,2.31917,53.763149225369375,52.0830229439809,56.6885801549464,53.4760503575685,55.60553053900005,53.7094221339458,59.140106138663,55.5125380175036,53.49427821955114,52.0901658730409,56.1640676736779,53.4083204566239,48.38776768810563,47.6227946845662,49.7642750238106,48.5169395437435,40.87346476452436,40.2974730022828,41.9119991119359,41.0824988756881,86.54454369228957,85.998923888361,88.4686229623052,86.2989906034498,58.63850590632611,56.6528728314499,61.1809645074009,58.7219481139583,7.368731974911835,7.1192099636816,7.68822674543955,7.3792176319717,199.89818255437862,195.292613967897,205.843401477312,200.092021683507,6372.83504648778,4984.893,7287.325,5797.522,28.44382344813901,23.5297004145084,35.3795495395371,29.5996231308733
pp000298,80.78270252764784,78.0,82.0,81.0,-0.20335808267457944,-0.20354,-0.19684,-0.20333,-0.04899936506044928,-0.04914,-0.0477,-0.04914,0.15435871761413011,0.14914,0.15504,0.15419,-0.12617872386751436,-0.126235,-0.12227,-0.126235,0.051569756110261995,0.05012,0.05167,0.05167,9.338015470896302,9.0463,9.3631,9.3631,-0.546754160627049,-0.57376,-0.54404,-0.54693,-0.5740475683492039,-0.57614,-0.55427,-0.57457,1.1905617236800936,1.18344,1.19243,1.19007,1.0882123491649909,1.08299,1.0884,1.0884,0.343196578596849,0.33738,0.34657,0.34228,247.90052478271124,246.1534,251.1045,248.1963,263.71650254492675,259.1506,267.1202,263.4055,85.19882656939987,83.8215,91.4865,83.8215,71.5785881460865,45.4745,73.5696,71.126,2.2606310640339133,2.25797,2.26654,2.26016,2.25772233867401,2.25701,2.26189,2.25741,2.327101431448436,2.32421,2.33014,2.3267,2.340623317145676,2.32937,2.34422,2.3397,75.65471011781997,75.573599523242,76.4097884386174,75.573599523242,77.40924000717433,77.3535938178884,77.7031220904972,77.3535938178884,72.41103790073379,72.3526536533064,73.4208949575857,72.3526536533064,62.8503643188079,62.7993333030977,63.6202322100776,62.7993333030977,49.49281310467258,49.4744909286532,49.7564228095843,49.4744909286532,102.19213744708041,101.980729124111,104.597424087174,101.980729124111,75.92748390450296,75.8713990132103,76.523953525386,75.8713990132103,9.541329025597749,9.53428119029925,9.61628360875997,9.53428119029925,242.47025637224704,242.31976618901,244.075658815081,242.31976618901,6157.5099342305375,5269.395,6435.066,6377.164,7.467141199927667,6.20992093387578,7.49990450951181,7.49990450951181
pp000321,86.40619463016219,83.0,87.0,87.0,-0.21865635759919866,-0.22206,-0.21825,-0.21825,-0.07346810949915755,-0.07627,-0.07288,-0.07288,0.1451882481000411,0.14218,0.14658,0.14537,-0.1460622335491781,-0.14877,-0.145565,-0.145565,0.07347863269851658,0.07288,0.07634,0.07288,12.910129868739764,12.7469,12.925,12.925,-0.5718948037539436,-0.57396,-0.57139,-0.57159,-0.5695161370299435,-0.57436,-0.56881,-0.56881,1.1105123101400025,1.10215,1.1123,1.1123,1.0968525652763788,1.09595,1.10301,1.09595,0.2934687760957651,0.28798,0.29396,0.29396,247.31133690063956,246.4167,251.7434,246.4167,251.3908280069972,251.0236,253.0308,251.3321,97.66529594362962,97.2447,102.698,97.2447,102.48335934438308,97.761,103.4066,103.0247,2.2433604481919893,2.24121,2.24369,2.24361,2.2433745376490717,2.24284,2.24601,2.24337,2.318355388719353,2.31418,2.32301,2.3182,2.316890681649317,2.31013,2.32062,2.31682,50.012410715151034,49.5437276519666,52.2860175804529,49.5437276519666,49.368156324905,49.0239587859227,51.0505244863758,49.0239587859227,44.11891570560149,43.8893443915361,45.3279224874649,43.8893443915361,35.13383472043246,34.9909292938455,35.8949385459658,34.9909292938455,26.02757246787412,25.9748780335073,26.3241263100368,25.9748780335073,85.57854025540976,82.9361040497972,85.9992105535866,85.9992105535866,47.01115668142721,46.6815215661308,48.678975011937,46.6815215661308,5.907596178685218,5.866173008422,6.11718041127129,5.866173008422,173.14542397715985,172.389013032826,176.972081402944,172.389013032826,2954.360889217345,2871.648,3389.308,2871.648,44.882778148553975,42.6094574867065,45.3394227281688,45.3394227281688
pp000390,99.13682971307934,88.0,104.0,101.0,-0.23914793346205138,-0.2399,-0.23459,-0.2399,-0.08924671828092469,-0.09052,-0.08754,-0.08871,0.14990121518112673,0.14705,0.15162,0.15119,-0.16419732587148805,-0.16448,-0.161065,-0.164305,0.08993477006959669,0.08821,0.09145,0.08928,10.92710764834907,10.6075,11.0807,10.9069,-0.5052579110297121,-0.51128,-0.4987,-0.50208,-0.5089627871816453,-0.51623,-0.49796,-0.509,1.1166391210227866,1.10578,1.1302,1.11537,1.1173356036533508,1.10411,1.13008,1.1167,0.2971559823848164,0.29259,0.30123,0.29559,249.18321596298057,238.3124,250.9258,249.4674,248.4689682511165,239.2636,249.6556,249.3853,83.83975200485544,82.1483,110.8975,83.2675,82.07381868978584,78.4838,112.3665,78.4838,2.253095094753777,2.24977,2.25717,2.25429,2.2512044883538196,2.24892,2.25599,2.25124,2.3537103096647165,2.3488,2.36344,2.35407,2.3484927322943046,2.34189,2.35604,2.34766,59.40332725621713,59.1356898092968,61.7802070917759,59.2697780095352,60.24751844940716,60.0994662032152,61.6174508100056,60.1176990875799,57.51345978720736,57.0777884645707,58.0597032575447,57.4089038503989,52.051931219551285,51.5956505963989,52.7140686652456,51.872987437072,45.46108391506243,45.0017220473293,46.088461998258,45.375022059284,109.21709545720658,107.184598603464,110.915560247113,109.54054598438,60.97649331311494,60.1941747572816,62.3985357313385,60.615947795639,7.662532137365964,7.56422308825504,7.84123125793333,7.61722465140648,205.36349972176265,203.528295451985,208.714923922659,204.516567401473,8393.195958888626,5929.87,9710.905,9710.905,28.58315445997412,25.3196776241119,29.2296278417374,28.8396328072428
pp000425,117.99999999672819,105.0,120.0,118.0,-0.2071299999978742,-0.20943,-0.20384,-0.20713,-0.05349999999910726,-0.07061,-0.0515,-0.0535,0.15362999999876695,0.13323,0.15793,0.15363,-0.13031499999849072,-0.137225,-0.12939,-0.130315,0.05526999999915655,0.05389,0.07067,0.05527,8.921500004856934,8.6871,10.5045,8.9215,-0.5521999999722379,-0.57906,-0.53968,-0.5522,-0.5468999999984434,-0.54784,-0.50167,-0.5469,1.2930600000210832,1.27897,1.33706,1.29306,1.2861500001072281,1.21753,1.31645,1.28615,0.28257000006395505,0.28257,0.38324,0.28257,189.84290007053315,189.8429,222.9146,189.8429,188.64909994099992,170.9885,205.0302,188.6491,170.11919999454497,111.474,170.1192,170.1192,169.96309986738703,131.6157,220.5931,169.9631,2.2470399999983037,2.24448,2.25632,2.24704,2.251279999977015,2.24277,2.26117,2.25128,2.3571400000770817,2.32014,2.38866,2.35714,2.3528599999458755,2.33495,2.39614,2.35286,60.91794547976864,60.9179454707986,66.7116731227652,60.9179454707986,61.42736330214548,61.4273632921606,68.0171932220222,61.4273632921606,58.64743307229552,58.6474330673899,64.676098199363,58.6474330673899,51.48940995160322,51.4894099505647,56.6033606966302,51.4894099505647,42.571002432023455,42.5710024307908,46.1835303962701,42.5710024307908,96.87450787797172,93.6457259166089,98.5980837216025,96.8745078882849,60.05093109516375,60.0509310838771,66.8152156613083,60.0509310838771,7.546222558791731,7.54622255737341,8.39624762678335,7.54622255737341,203.19306316664466,203.193063140046,219.303744172743,203.193063140046,6374.891000447102,5598.35,7180.838,6374.891,27.5496492220207,21.0197323719918,27.5496492316067,27.5496492316067
pp000458,121.24124908972716,121.0,123.0,121.0,-0.20647972591261596,-0.20791,-0.20429,-0.20691,-0.0643947870072811,-0.06552,-0.06375,-0.06417,0.14208493890533486,0.13877,0.14416,0.14274,-0.13543725645994853,-0.13583,-0.134905,-0.13554,0.06455377326806279,0.06399,0.06557,0.06435,11.223933342367276,10.5887,11.4493,11.1996,-0.5519364922630824,-0.56062,-0.54984,-0.54984,-0.5543884473284553,-0.55536,-0.54066,-0.55536,1.1451832741034436,1.13756,1.14573,1.14573,1.1436501837304849,1.14124,1.14378,1.14378,0.28343647619618195,0.28165,0.29283,0.28165,257.76719323239587,256.4129,265.4201,256.4129,259.7094229220105,254.0244,260.7099,260.7099,70.3391746398233,53.147,72.7769,72.7769,68.15977820091805,65.6027,97.2834,65.6027,2.246727981553261,2.24635,2.24703,2.2468,2.2461946368807206,2.24452,2.24659,2.24659,2.334043610174751,2.33349,2.33443,2.33398,2.3331313268792435,2.3286,2.33491,2.33407,61.01251377019587,60.5613081048868,61.0445843265793,61.0445843265793,60.31998355847042,60.3139935447831,60.4970982558501,60.3139935447831,58.70883243750084,58.2646794487717,58.9619926839267,58.797617545962,54.088602893960605,53.2868837589006,54.3355707741848,54.2574493174294,45.69730136553095,44.8547075935171,45.9251521379004,45.8760524413223,91.58359295089133,90.6987994120499,94.6161807415085,91.6571062480589,59.517628305265106,59.1516791341716,59.9554353016075,59.5814101543848,7.479205753716355,7.43321922461656,7.53422220345233,7.48722081726143,201.94687195143942,201.093015052944,202.969686869157,202.095639074149,5467.328644193153,5145.838,5480.625,5480.625,29.958930999871427,29.2896270778135,30.019617783406,30.019617783406
