log_name,SCF_energy(Hartree),∆G(Hartree),∆G(kcal/mol),e^(-∆G/RT),Mole Fraction,Unnamed: 0,Unnamed: 0.1,HOMO,LUMO,η,μ,ω,dipole(Debye),NBO_charge_Cl1,NBO_charge_Cl2,NBO_charge_P1,NBO_charge_P2,NBO_charge_Pd,NMR_shift_P1,NMR_shift_P2,aniso_NMR_shift_P1,aniso_NMR_shift_P2,distance_Pd_Cl1(Å),distance_Pd_Cl2(Å),distance_Pd_P1(Å),distance_Pd_P2(Å),%Vbur_Pd_3Å,%Vbur_Pd_4Å,%Vbur_Pd_5Å,%Vbur_Pd_6Å,%Vbur_Pd_7Å,Bite_angle_Pd(°),%G_param_Pd,Solid_angle_Pd(sr),Solid_cone_angle_Pd(°),volume(Bohr_radius³/mol),SASA_Pd_surface_area(Å²),CPU_time_total(hours),Wall_time_total(hours)
pp000067-Pd_10_SPE,-2437.66852936,0.0,0.0,1.0,0.5959941235929754,0.0,0.0,-0.23616,-0.05718,0.17898,-0.14667,0.0601,11.1429,-0.58875,-0.59662,1.09362,1.06815,0.31186,181.642,193.0211,166.2682,152.1343,2.38014,2.37568,2.24881,2.25708,55.8989496424315,58.8072590155794,54.980724354325,44.1999637171754,30.6688090263744,88.5680398146854,57.0985198153748,7.17521161531331,196.323761338067,3591.384,30.279614473069,38.98161,2.00316666666667
pp000067-Pd_1_SPE,-2437.66663288,0.0018964799996865622,1.1900411998033178,0.1341818062433858,0.07997156801414916,1.0,1.0,-0.23654,-0.05848,0.17806,-0.14751,0.0611,11.1386,-0.59274,-0.58771,1.07244,1.07923,0.30768,190.997,191.2975,155.065,159.3379,2.376,2.3818,2.25919,2.25008,58.629134386174,60.9808515920799,57.4855728296175,45.2877681527507,30.6744305858377,88.78488618284,59.2471749164412,7.44521957853764,201.315676491986,3765.366,28.5396366268623,39.59414,2.03408333333333
pp000067-Pd_2_SPE,-2437.66663363,0.0018957299998874078,1.1895705749293484,0.1342884323965791,0.0800351165748737,2.0,2.0,-0.23653,-0.05848,0.17805,-0.147505,0.0611,11.1387,-0.59273,-0.58771,1.07245,1.07923,0.30768,190.9903,191.3003,155.0669,159.341,2.376,2.38178,2.25919,2.25008,58.6319278903457,60.9820153932096,57.4869524770584,45.2853870923851,30.6732208831683,88.784239156286,59.2710488620086,7.44821966701791,201.371354542019,3388.702,28.5496364995416,38.28792,1.96808333333333
pp000067-Pd_3_SPE,-2437.66423448,0.004294880000088597,2.6950372000555944,0.010580928179826131,0.006306171017335692,3.0,3.0,-0.23615,-0.05772,0.17843,-0.146935,0.0605,11.276,-0.59019,-0.5902,1.08187,1.08189,0.30904,177.7534,177.7549,154.4313,154.4268,2.37861,2.37852,2.25181,2.25183,58.2911203814064,60.5805040034759,56.8688704235123,44.7732323461382,30.6567119996812,88.2494735250885,58.1569314021964,7.30821553793863,198.778241246469,3245.217,28.9196317886776,39.07408,2.00761111111111
pp000067-Pd_4_SPE,-2437.66423577,0.004293590000088443,2.694227725055498,0.010595394119482652,0.006314792632363229,4.0,4.0,-0.23615,-0.05772,0.17843,-0.146935,0.0605,11.2758,-0.5902,-0.59018,1.08189,1.08189,0.30903,177.7615,177.7656,154.4261,154.4114,2.37857,2.37856,2.25183,2.25183,58.3078814064362,60.587098876544,56.8749802907508,44.7737992652728,30.6550041841481,88.2512159494269,58.1967213114754,7.31321568540575,198.870677446606,3797.589,28.759633825808,44.82772,2.30469444444444
pp000067-Pd_5_SPE,-2437.66663194,0.0018974199997501273,1.190631049843205,0.13404828762897156,0.079891991704568,5.0,5.0,-0.23654,-0.05848,0.17806,-0.14751,0.0611,11.1384,-0.5877,-0.59275,1.07923,1.07244,0.30768,191.2995,190.9992,159.3421,155.0586,2.38183,2.37598,2.25008,2.25919,58.6123733611442,61.0006362112842,57.4987780265523,45.2930971926164,30.6774192630207,88.7857449433629,59.334712716855,7.4562199029653,201.519854340317,3628.474,28.5696362449003,43.89344,2.25819444444444
pp000067-Pd_6_SPE,-2437.66391619,0.00461317000008421,2.894764175052842,0.00755305868186108,0.004501578589542109,6.0,6.0,-0.23642,-0.05803,0.17839,-0.147225,0.06075,11.1982,-0.59197,-0.59081,1.07216,1.082,0.30813,195.3929,179.4932,147.6468,154.3562,2.37842,2.37809,2.25701,2.25141,57.8823376042908,60.8171435665074,57.2009712717984,45.2090797768606,30.6759249244292,88.382200530858,58.6105363679771,7.36521721906377,199.832760720971,3753.31,27.7596465578731,38.22597,1.96505555555556
pp000067-Pd_7_SPE,-2437.66713516,0.00139420000004975,0.8748605000312182,0.2284140003387556,0.13613340194826226,7.0,7.0,-0.23599,-0.05768,0.17831,-0.146835,0.06046,11.0024,-0.59179,-0.59238,1.06926,1.07981,0.30568,176.1639,186.7805,156.9897,169.3077,2.37894,2.38144,2.25688,2.24595,57.5825014898689,60.1355440382348,56.8225536879947,45.1476257426641,30.6335853310031,89.4379306161057,58.8254018780837,7.3922180153862,200.332857058086,3536.174,30.019617783406,38.33764,1.97052777777778
pp000067-Pd_8_SPE,-2437.66423701,0.004292350000014267,2.6934496250089524,0.01060931800672774,0.006323091187338873,8.0,8.0,-0.23615,-0.05773,0.17842,-0.14694,0.06051,11.2755,-0.5902,-0.59019,1.08191,1.0819,0.30905,177.7692,177.7726,154.3805,154.3798,2.37857,2.3786,2.25184,2.25183,58.2995008939213,60.5774005337968,56.8670965910883,44.7708512857726,30.653438686576,88.2545632168044,58.1648893840522,7.30921556743206,198.796727498184,3763.018,28.7996333165254,38.95633,2.00172222222222
pp000067-Pd_9_SPE,-2437.66392175,0.004607609999766282,2.891275274853342,0.007597666754318466,0.004528164738591521,9.0,9.0,-0.23544,-0.05947,0.17597,-0.147455,0.06178,11.0907,-0.59771,-0.58506,1.07675,1.05346,0.30979,177.2317,164.577,166.5347,133.0689,2.37802,2.38419,2.24878,2.25877,57.0917759237187,59.3538576128111,55.9841222288796,44.5609778221235,30.5719616538486,89.6033522607822,57.5441667992997,7.23121326694502,197.356241259714,3412.276,31.0996040327757,37.80125,1.94372222222222
