Ligand_ID,Unnamed: 0_Boltz,Unnamed: 0_min,Unnamed: 0_max,Unnamed: 0_low_E,Unnamed: 0.1_Boltz,Unnamed: 0.1_min,Unnamed: 0.1_max,Unnamed: 0.1_low_E,HOMO_Boltz,HOMO_min,HOMO_max,HOMO_low_E,LUMO_Boltz,LUMO_min,LUMO_max,LUMO_low_E,η_Boltz,η_min,η_max,η_low_E,μ_Boltz,μ_min,μ_max,μ_low_E,ω_Boltz,ω_min,ω_max,ω_low_E,dipole(Debye)_Boltz,dipole(Debye)_min,dipole(Debye)_max,dipole(Debye)_low_E,NBO_charge_Cl1_Boltz,NBO_charge_Cl1_min,NBO_charge_Cl1_max,NBO_charge_Cl1_low_E,NBO_charge_Cl2_Boltz,NBO_charge_Cl2_min,NBO_charge_Cl2_max,NBO_charge_Cl2_low_E,NBO_charge_P1_Boltz,NBO_charge_P1_min,NBO_charge_P1_max,NBO_charge_P1_low_E,NBO_charge_P2_Boltz,NBO_charge_P2_min,NBO_charge_P2_max,NBO_charge_P2_low_E,NBO_charge_Pd_Boltz,NBO_charge_Pd_min,NBO_charge_Pd_max,NBO_charge_Pd_low_E,NMR_shift_P1_Boltz,NMR_shift_P1_min,NMR_shift_P1_max,NMR_shift_P1_low_E,NMR_shift_P2_Boltz,NMR_shift_P2_min,NMR_shift_P2_max,NMR_shift_P2_low_E,aniso_NMR_shift_P1_Boltz,aniso_NMR_shift_P1_min,aniso_NMR_shift_P1_max,aniso_NMR_shift_P1_low_E,aniso_NMR_shift_P2_Boltz,aniso_NMR_shift_P2_min,aniso_NMR_shift_P2_max,aniso_NMR_shift_P2_low_E,distance_Pd_Cl1(Å)_Boltz,distance_Pd_Cl1(Å)_min,distance_Pd_Cl1(Å)_max,distance_Pd_Cl1(Å)_low_E,distance_Pd_Cl2(Å)_Boltz,distance_Pd_Cl2(Å)_min,distance_Pd_Cl2(Å)_max,distance_Pd_Cl2(Å)_low_E,distance_Pd_P1(Å)_Boltz,distance_Pd_P1(Å)_min,distance_Pd_P1(Å)_max,distance_Pd_P1(Å)_low_E,distance_Pd_P2(Å)_Boltz,distance_Pd_P2(Å)_min,distance_Pd_P2(Å)_max,distance_Pd_P2(Å)_low_E,%Vbur_Pd_3Å_Boltz,%Vbur_Pd_3Å_min,%Vbur_Pd_3Å_max,%Vbur_Pd_3Å_low_E,%Vbur_Pd_4Å_Boltz,%Vbur_Pd_4Å_min,%Vbur_Pd_4Å_max,%Vbur_Pd_4Å_low_E,%Vbur_Pd_5Å_Boltz,%Vbur_Pd_5Å_min,%Vbur_Pd_5Å_max,%Vbur_Pd_5Å_low_E,%Vbur_Pd_6Å_Boltz,%Vbur_Pd_6Å_min,%Vbur_Pd_6Å_max,%Vbur_Pd_6Å_low_E,%Vbur_Pd_7Å_Boltz,%Vbur_Pd_7Å_min,%Vbur_Pd_7Å_max,%Vbur_Pd_7Å_low_E,Bite_angle_Pd(°)_Boltz,Bite_angle_Pd(°)_min,Bite_angle_Pd(°)_max,Bite_angle_Pd(°)_low_E,%G_param_Pd_Boltz,%G_param_Pd_min,%G_param_Pd_max,%G_param_Pd_low_E,Solid_angle_Pd(sr)_Boltz,Solid_angle_Pd(sr)_min,Solid_angle_Pd(sr)_max,Solid_angle_Pd(sr)_low_E,Solid_cone_angle_Pd(°)_Boltz,Solid_cone_angle_Pd(°)_min,Solid_cone_angle_Pd(°)_max,Solid_cone_angle_Pd(°)_low_E,volume(Bohr_radius³/mol)_Boltz,volume(Bohr_radius³/mol)_min,volume(Bohr_radius³/mol)_max,volume(Bohr_radius³/mol)_low_E,SASA_Pd_surface_area(Å²)_Boltz,SASA_Pd_surface_area(Å²)_min,SASA_Pd_surface_area(Å²)_max,SASA_Pd_surface_area(Å²)_low_E
pp000067,1.7549609405893196,0.0,9.0,0.0,1.7549609405893196,0.0,9.0,0.0,-0.23622493915876774,-0.23654,-0.23544,-0.23616,-0.057584423839732155,-0.05947,-0.05718,-0.05718,0.17864051531903558,0.17597,0.17898,0.17898,-0.14690468149924993,-0.14751,-0.14667,-0.14667,0.06040708089668569,0.0601,0.06178,0.0601,11.12526331412286,11.0024,11.276,11.1429,-0.589800058527897,-0.59771,-0.5877,-0.58875,-0.5941076426933528,-0.59662,-0.58506,-0.59662,1.0853707958989751,1.06926,1.09362,1.09362,1.0721091088442036,1.05346,1.082,1.06815,0.3099363327682497,0.30568,0.31186,0.31186,183.13254621482545,176.1639,195.3929,181.642,191.2557281319425,164.577,193.0211,193.0211,162.3520996119128,147.6468,166.5347,166.2682,155.82537937640933,133.0689,169.3077,152.1343,2.3794023973657707,2.376,2.38183,2.38014,2.3775696792411503,2.37568,2.38419,2.37568,2.2517648540218125,2.24878,2.25919,2.24881,2.2544960329066,2.24595,2.25919,2.25708,56.84179543309055,55.8989496424315,58.6319278903457,55.8989496424315,59.556335947747236,58.8072590155794,61.0006362112842,58.8072590155794,55.88386876656899,54.980724354325,57.4987780265523,54.980724354325,44.60719609917518,44.1999637171754,45.2930971926164,44.1999637171754,30.664837305468613,30.5719616538486,30.6774192630207,30.6688090263744,88.73635873227303,88.2494735250885,89.6033522607822,88.5680398146854,57.887146598643675,57.0985198153748,59.334712716855,57.0985198153748,7.274313379662974,7.17521161531331,7.4562199029653,7.17521161531331,198.15552507229404,196.323761338067,201.519854340317,196.323761338067,3584.6455077291043,3245.217,3797.589,3591.384,29.794835439743267,27.7596465578731,31.0996040327757,30.279614473069
pp000085,14.0,10.0,15.0,14.0,14.0,10.0,15.0,14.0,-0.16567,-0.16977,-0.16506,-0.16567,-0.07192,-0.07548,-0.06947,-0.07192,0.09375,0.0906,0.09741,0.09375,-0.118795,-0.122625,-0.118175,-0.118795,0.07527,0.07168,0.07974,0.07527,9.9627,9.1836,10.0305,9.9627,-0.55558,-0.56031,-0.54729,-0.55558,-0.54983,-0.56051,-0.54983,-0.54983,1.04127,1.04127,1.07997,1.04127,1.06066,1.03409,1.07738,1.06066,0.33704,0.33704,0.34167,0.33704,384.2089,384.2089,425.4295,384.2089,400.6797,390.593,425.4524,400.6797,191.6746,163.7447,197.3649,191.6746,168.3225,163.7785,198.5585,168.3225,2.37474,2.37227,2.37954,2.37474,2.37278,2.37278,2.37996,2.37278,2.32185,2.29978,2.32185,2.32185,2.3077,2.29979,2.32931,2.3077,61.7951057806913,59.2641910011919,61.9832017282479,61.7951057806913,64.6002731053318,62.890261312147,65.3637266463907,64.6002731053318,62.0815726404087,59.0341285358393,62.766074863612,62.0815726404087,52.0805932241825,50.8426686017507,52.8090843122137,52.0805932241825,38.1838378030661,38.0379618929427,38.303029095484,38.1838378030661,104.017702551695,102.651251234198,105.240968894372,104.017702551695,63.1863759350629,60.9899729428617,63.8150565016712,63.1863759350629,7.94023417778226,7.66422603759738,8.01923650776271,7.94023417778226,210.582710920025,205.394509051133,212.079136056876,210.582710920025,3930.071,3930.071,4566.181,3930.071,24.8496836081825,23.3997020696769,26.1096675657805,24.8496836081825
pp000091,30.278756822417634,16.0,39.0,20.0,30.278756822417634,16.0,39.0,20.0,-0.23688240501768223,-0.23689,-0.23502,-0.23689,-0.06805632621498942,-0.06923,-0.06737,-0.06805,0.16882607880269285,0.16633,0.16884,0.16884,-0.15246936561633584,-0.152475,-0.151195,-0.15247,0.0688455927829824,0.06818,0.06981,0.06884,10.26771829062778,10.2332,10.399,10.2673,-0.5546362802627574,-0.57042,-0.55458,-0.5546,-0.5546131758855648,-0.56056,-0.54654,-0.55461,1.0929117444352925,1.07883,1.09298,1.09296,1.092934545633406,1.08337,1.11316,1.09294,0.30494819610777535,0.30492,0.30969,0.30492,261.16365444214716,245.8752,261.2199,261.2112,261.1652756481623,245.8821,261.2367,261.2211,95.9567394936318,95.7719,128.9491,95.8078,95.91666879932795,82.3758,128.9157,95.8357,2.3642046907811247,2.36044,2.36629,2.36422,2.364213797000354,2.36041,2.36627,2.36421,2.2787798845253406,2.27285,2.28181,2.2788,2.2787777586078217,2.26989,2.28179,2.2788,54.6977676704934,53.8522422526818,54.9575387365912,54.7163662097735,54.91320760960971,54.6346440320278,55.2111135249209,54.9290857178325,50.04617300160815,50.0337028160575,50.7820630065277,50.0498644003658,42.09372943016824,42.0819538301057,42.4046442015511,42.0956732731643,32.733115117328204,32.7040270290272,32.8921002146155,32.7305693287716,96.7913343257155,94.8632374581706,96.8052308858233,96.8016167570919,51.82036647144116,51.7507560082763,52.5306382301448,51.7985038994111,6.511939304520416,6.50319179573275,6.60119468608825,6.50919197269329,184.17289734023683,184.013257575839,185.802274637503,184.122756676815,4086.7423962771404,3224.41,4824.084,4231.983,27.75850219245606,27.699647321797,32.2995887542976,27.7196470671557
pp000110,40.99902904719651,40.0,47.0,40.0,40.99902904719651,40.0,47.0,40.0,-0.22821501494545451,-0.22887,-0.22789,-0.22822,-0.07129001420679834,-0.07379,-0.07129,-0.07129,0.15692500073865617,0.1541,0.15693,0.15693,-0.14975251457612643,-0.150915,-0.14975,-0.149755,0.07145001362497243,0.07145,0.07382,0.07145,10.381867296887275,10.3815,11.3804,10.3815,-0.5666048981605615,-0.56662,-0.52856,-0.56662,-0.5337499941843827,-0.56636,-0.53373,-0.53373,1.105099757599941,1.08244,1.10511,1.10511,1.0374847473551296,1.01318,1.03752,1.03752,0.3353751649654563,0.33537,0.34927,0.33537,272.2039980083021,270.6776,280.2207,272.2183,149.51762730183464,149.5127,201.4477,149.5207,150.79726934386258,131.4248,150.8128,150.7824,169.79250160288146,124.6516,169.7947,169.7947,2.3674549588014484,2.36651,2.37526,2.36743,2.369574861350757,2.35856,2.36963,2.36963,2.257035500767455,2.25702,2.30008,2.25702,2.359059874356333,2.34988,2.37015,2.359,57.19005333664651,57.1839615613826,59.9746722288439,57.1839615613826,58.48593043984275,58.4763515610453,62.6920271863944,58.4953603128298,54.76402066468743,54.75584182145,60.496751915739,54.7720034057583,48.11983843531828,48.1123860492539,52.6053335752188,48.127125946755,37.57461972148369,37.5737207038477,40.0631464793383,37.5754285193809,98.39726574563771,96.4481282001758,98.4009694259334,98.4009694259334,56.76040114466839,56.7483686137196,61.8414770014324,56.772242559287,7.132722370035992,7.13121031760268,7.77122919339369,7.13421040608295,195.54130004158682,195.513466380426,207.398984942595,195.568688511361,4214.882711271832,4013.997,5359.118,4390.96,27.139690871401903,26.26966552865,28.0896423562916,27.1596541971121
pp000135,60.476471316673525,48.0,77.0,48.0,60.476471316673525,48.0,77.0,48.0,-0.2340015313055095,-0.23529,-0.23245,-0.2342,-0.06322952461611159,-0.06658,-0.06248,-0.06283,0.17077200668939793,0.16673,0.17199,0.17137,-0.14861552796081057,-0.1502,-0.14785,-0.148515,0.06467033049214424,0.06405,0.06745,0.06435,10.121307478233248,9.5255,12.4278,9.5257,-0.5958236587713425,-0.60177,-0.59067,-0.59237,-0.5971041664880813,-0.60197,-0.59172,-0.60105,1.0831457096606085,1.0605,1.08387,1.0835,1.1282908513375396,1.12624,1.13048,1.12832,0.31529491737290055,0.31471,0.32063,0.31478,178.53939925023806,167.9327,179.4819,178.5678,204.8287128833885,199.2819,208.2034,205.5502,158.0827234367982,147.5462,159.6764,158.8147,184.49696319077506,153.774,188.1046,185.4752,2.3807151969884393,2.37688,2.38412,2.38267,2.380408871043903,2.3738,2.38376,2.37865,2.24302188343583,2.24057,2.25169,2.24304,2.2520947850953696,2.25013,2.25343,2.25253,51.23650751337262,50.2812127532777,51.4535533373063,51.3138781287247,53.40093553214722,52.2391533734715,53.6834305753833,53.3028676059835,51.877736378654156,51.0169972564725,52.2208381949481,51.8201491595976,46.90510528166711,46.2401922989705,47.2892194657354,46.9200417252483,39.862285626828324,39.3093593983935,40.4671160119092,40.0095637669857,87.96657987451698,87.6919622581459,88.4297131250546,87.9365044127648,56.550765740823756,55.650167117619,57.1940155976444,56.6449148495942,7.106378808249971,6.99320624751024,7.18721196923439,7.11820993418817,195.05663818509598,192.976948506878,196.544891828206,195.274212190855,6434.223153547413,5531.958,7586.276,6033.639,29.12141426126127,26.7996587806556,32.2095899001834,29.3996256772863
pp000298,80.50197786584113,78.0,82.0,82.0,80.50197786584113,78.0,82.0,82.0,-0.16180998681422773,-0.16182,-0.16127,-0.1618,-0.07740500659288616,-0.07741,-0.07727,-0.07741,0.0844049802213416,0.084,0.08442,0.08439,-0.11960749670355694,-0.11961,-0.11927,-0.119605,0.08474501977865842,0.08467,0.08476,0.08476,9.509251120790644,9.5084,9.6118,9.5101,-0.572154993407114,-0.59349,-0.56917,-0.57215,-0.5982599868142278,-0.59827,-0.56917,-0.59825,1.127444993407114,1.11833,1.12745,1.12744,1.0872849934071138,1.08728,1.09452,1.08728,0.34515496703556936,0.34513,0.34589,0.34513,467.6219671555867,457.9798,467.7107,467.7107,409.13803573344285,409.1109,422.588,409.1651,223.8459053143147,208.8891,223.8878,223.8878,173.92650831887693,173.8192,187.0962,173.8192,2.382669947256911,2.38096,2.39878,2.38263,2.404254993407114,2.38098,2.40426,2.40425,2.2782599736284554,2.27824,2.2866,2.27824,2.3214649670355696,2.32144,2.32169,2.32144,69.49167842711104,68.458544398093,69.4940032777116,69.4940032777116,72.01291606059117,71.3057072807399,72.0171777046738,72.0171777046738,68.0655941140483,67.3439421651793,68.0672716092208,68.0639210368642,60.44027014749941,59.9387727334573,60.4408363191074,60.4408363191074,49.16783425758291,49.0239834228039,49.1700728098689,49.1700728098689,98.75119653691152,98.7507413206571,99.4252888501104,98.7516505542712,70.81809102799005,70.0461562947637,70.8260385166322,70.8260385166322,8.899263780591472,8.80225960111328,8.90026249146878,8.90026249146878,229.21021305640141,227.271800454569,229.230246404835,229.230246404835,6315.6351639482455,5316.985,6598.267,6598.267,13.699838756312642,13.6898256980289,14.3198176768279,13.7098254433876
pp000321,85.00024150548293,83.0,87.0,86.0,85.00024150548293,83.0,87.0,86.0,-0.23950000000000002,-0.2395,-0.2395,-0.2395,-0.07303,-0.07303,-0.07303,-0.07303,0.16647,0.16647,0.16647,0.16647,-0.15626500000000002,-0.156265,-0.156265,-0.156265,0.07334000000000002,0.07334,0.07334,0.07334,12.47922001114252,12.479,12.4794,12.4793,-0.5933559980258887,-0.59336,-0.59335,-0.59335,-0.5933539980560689,-0.59336,-0.59333,-0.59336,1.1092980016391092,1.10929,1.1093,1.1093,1.1092859957388026,1.10927,1.1093,1.10928,0.31758599813182986,0.31758,0.31759,0.31758,216.90076126829257,216.8923,216.9105,216.9042,216.89743937274696,216.8877,216.9072,216.8877,157.17779140140362,157.127,157.2018,157.127,157.20613072495408,157.1796,157.2558,157.2558,2.374893997377912,2.37488,2.3749,2.37489,2.37487999434506,2.37482,2.37491,2.37488,2.246393999198723,2.24638,2.24642,2.24638,2.2463959990626017,2.24637,2.24643,2.24637,47.51657908064264,47.5035384386174,47.5463721692491,47.5175059594756,47.17025795185049,47.164980448141,47.1812736639563,47.1704115200795,42.21307452969082,42.2093279934408,42.2199709879852,42.2199709879852,33.97632741377953,33.9710417706018,33.9849879813143,33.9849879813143,25.89789880672441,25.895749247138,25.8999476269903,25.8998764680098,87.2582781482246,87.2573801708623,87.2589984765653,87.2573801708623,44.838456832278396,44.8273117937291,44.8591437211523,44.8591437211523,5.634566663303555,5.63316613645434,5.63716625442803,5.63716625442803,168.1495025572445,168.123822795555,168.197167323448,168.197167323448,3304.7561158086673,3001.197,3828.803,3484.276,43.99143264021775,43.9194408077012,44.0194395344947,44.0094396618153
pp000390,95.91055628482943,88.0,104.0,91.0,95.91055628482943,88.0,104.0,91.0,-0.25457975769981417,-0.25471,-0.25448,-0.25463,-0.1027852659601855,-0.10295,-0.10264,-0.10274,0.15179449173962867,0.15176,0.15189,0.15189,-0.17868251182999983,-0.17883,-0.17856,-0.178685,0.10516607588136581,0.10499,0.10536,0.1051,11.695284472876597,11.6531,11.7393,11.6634,-0.5147693792953482,-0.51826,-0.51387,-0.51416,-0.5175435752643919,-0.51859,-0.51387,-0.51859,1.070513735236588,1.06095,1.07734,1.06121,1.0677527647730445,1.06095,1.07759,1.07759,0.3247684470515247,0.32441,0.32506,0.32441,221.3908507913228,219.2277,223.3018,223.2167,221.60367734810634,219.2253,223.3016,220.1096,144.34814575337296,141.5111,146.9453,146.2828,145.38237481510913,142.3501,147.6515,142.3501,2.3583493797871458,2.34998,2.36019,2.36019,2.3519638450577762,2.34998,2.3601,2.35034,2.3333323428852326,2.33089,2.33506,2.33089,2.3326065574469492,2.33095,2.33507,2.33407,58.80227245561582,58.7194576877235,58.8572705601907,58.8460965435042,58.8693550375119,58.843336850599,58.9023027745019,58.9023027745019,55.41087747791772,55.3928447541862,55.4344312699063,55.4344312699063,50.54732294188177,50.5266678760942,50.5935643339834,50.5935643339834,44.156831851749565,43.9613065927372,44.5776856822438,44.5776856822438,105.78687913008002,105.685568174451,105.888475262794,105.740869559643,58.866603637857914,58.7139901321025,59.0800572974694,59.0800572974694,7.397395581219067,7.37821760247827,7.42421895917575,7.42421895917575,200.42883513905215,200.073499613006,200.926071866511,200.926071866511,7937.998909622661,6879.063,9184.147,7769.623,29.21117030327711,29.0896296242265,29.3796259319276,29.2296278417374
pp000425,110.26291138188212,105.0,119.0,110.0,110.26291138188212,105.0,119.0,110.0,-0.21825776886752551,-0.22686,-0.21693,-0.2178,-0.06692070268864757,-0.06967,-0.06499,-0.06837,0.15133706617887793,0.14782,0.15786,0.14943,-0.14258923577808658,-0.148265,-0.141935,-0.143085,0.06719096455931572,0.06548,0.06992,0.0685,10.383171688805502,8.9603,10.9189,9.929,-0.5471359510946819,-0.55142,-0.53831,-0.54591,-0.5514690441505915,-0.55836,-0.54799,-0.54799,1.2586686079525502,1.25444,1.28327,1.25444,1.2903136282273735,1.28282,1.29453,1.28877,0.31315331427358095,0.30699,0.31783,0.31702,189.1048072294231,185.6226,197.5454,189.3798,183.04725355834162,176.8414,186.9492,186.9492,201.96056022181202,151.0949,209.758,194.2916,179.0368695960439,175.6557,236.6057,175.6557,2.34966746941878,2.34841,2.36347,2.34841,2.3748211916579085,2.36724,2.37612,2.37376,2.3189518915055376,2.29036,2.32298,2.32298,2.2788925410829095,2.27119,2.28567,2.27383,58.07195031008296,56.863639749702,59.3014377234803,56.863639749702,59.313930318143626,58.4751877599156,61.0149897585501,58.4751877599156,55.94164876000331,55.7387420768818,58.3171060515279,55.8449749298351,49.48888470571913,49.1900993242324,52.6140641298925,49.5126763118509,41.7088183961041,41.4747271764686,44.2431673146878,41.7814935416109,98.04875260584099,95.125682887878,102.769022513056,100.076133057918,58.01361701822996,57.0428139423842,60.1225529205793,57.0428139423842,7.290206121305725,7.16821140885935,7.55522282281422,7.16821140885935,198.4486041288742,196.194796863719,203.360653953063,196.194796863719,6693.936764768052,5151.555,7810.074,6631.47,30.432554618940763,25.4296762235847,32.2595892635802,32.2595892635802
pp000458,120.9986705161393,120.0,122.0,120.0,120.9986705161393,120.0,122.0,120.0,-0.22588858259431954,-0.22602,-0.22541,-0.22602,-0.07738581766391696,-0.0775,-0.07697,-0.0775,0.14850276493040257,0.14844,0.14852,0.14852,-0.15163720012911824,-0.15176,-0.15119,-0.15176,0.0774236632802173,0.077,0.07754,0.07754,10.09722735138164,10.01,10.4116,10.0118,-0.5635075927357868,-0.56363,-0.56308,-0.56363,-0.5629633055782661,-0.56362,-0.56059,-0.56362,1.1006239294555693,1.10062,1.10063,1.10063,1.1004701829995551,1.09987,1.10064,1.10063,0.3189739294555694,0.31897,0.31898,0.31898,235.3851120622087,234.8138,235.5463,235.5377,235.73278642509976,235.5345,236.4392,235.5431,116.67223257784266,116.3899,117.688,116.3967,116.0038721212303,114.5031,116.4279,116.4041,2.3650207719006175,2.36384,2.36535,2.36535,2.3652373747957522,2.3649,2.36534,2.36534,2.286084505061793,2.2855,2.28625,2.28625,2.2860746664335885,2.2856,2.28621,2.28621,57.897779713832676,57.8115688319428,57.9251713349225,57.9251713349225,57.50789289847958,57.4634566445286,57.5200949661722,57.5200949661722,54.94393041832848,54.5023808772981,55.0652770332061,55.0652770332061,51.7479967173864,50.9199963717175,51.9811556079641,51.9695904576171,44.883425219502655,44.0367351121181,45.1208421807666,45.111022241451,96.42832550384739,96.3916588724941,96.5615607906402,96.3918198084109,56.17486966256513,55.8252427184466,56.2788476842273,56.2629317205157,7.059142313931153,7.01520689636556,7.0722085774907,7.07020851850385,194.18807680170175,193.380860716826,194.428150678708,194.391383664858,5661.2369767562905,5093.355,6060.94,6060.94,25.74431702333557,25.6696731678891,25.9796692209489,25.6896729132478
