,ligand,xtb_energy,bite_angle,buried_volume,solid_angle,solid_cone_angle,g_parameter,bite_angle_buried_volume,bite_angle_cone_angle
0,pp000091-Pd_5.xyz,-89.86918625,91.72035547850342,58.66392564293701,6.960205274227267,192.37138204797182,55.387553716377525,5380.676113734675,17644.371545330967
1,pp000091-Pd_15.xyz,-89.86856336,90.66673807808453,57.77289880730525,6.892203268674472,191.12462177529937,54.84641095018304,5238.080284173628,17328.64602277404
2,pp000091-Pd_14.xyz,-89.86862933,91.67266549360738,58.033800782705924,6.9112038290495175,191.47284189807428,54.99761260544326,5320.11320647565,17552.825786432535
3,pp000091-Pd_4.xyz,-89.86926292,89.74843377259592,58.323821282146845,6.9292043599311395,191.80283267655201,55.140856278847686,5234.471611705477,17214.003825867825
4,pp000091-Pd_6.xyz,-89.86916367,90.86729834251695,58.512509317927694,6.945204831825916,192.09624021081783,55.268183988540514,5316.8736409614385,17455.266369712182
5,pp000091-Pd_16.xyz,-89.86850106,92.03227282721353,58.39719996272829,6.959205244733844,192.35303704883225,55.37959573452172,5374.427039315154,17702.687184821243
6,pp000091-Pd_17.xyz,-89.86841384,90.60950466137304,58.97607622064853,7.040207633701144,193.8400549576859,56.02419226484163,5343.7930532243445,17563.75136324925
7,pp000091-Pd_7.xyz,-89.86908249,91.16716641876069,58.099026276556096,6.932204448411411,191.8578406158944,55.164730224415095,5296.72359732274,17491.135684173307
8,pp000091-Pd_3.xyz,-89.86952973,89.35064861908873,58.44204248975028,6.940204684358799,192.00454189686135,55.2283940792615,5221.834403083531,17155.73035629556
9,pp000091-Pd_13.xyz,-89.86869071,91.52969064762418,57.9382920238539,6.9112038290495175,191.47284189807428,54.99761260544326,5303.073945595059,17525.449986352192
10,pp000091-Pd_12.xyz,-89.86873663,92.91971339801411,58.22132407752516,6.9112038290495175,191.47284189807428,54.99761260544326,5409.908746936536,17791.60159267233
11,pp000091-Pd_2.xyz,-89.86958786,90.03024620997407,58.317415206857994,6.95220503827988,192.2246309266106,55.323889861531114,5250.331249402711,17306.030849944145
12,pp000091-Pd_10.xyz,-89.8689291,90.45755430169665,57.864330972791656,6.904203622595554,191.34453807875565,54.94190673245266,5234.265861102648,17308.5589435921
13,pp000091-Pd_11.xyz,-89.86890861,91.4220852919144,58.31625046589638,6.946204861319339,192.1145808047131,55.27614197039631,5331.393223997822,17563.515592148862
14,pp000091-Pd_1.xyz,-89.86969276,88.89766893339143,58.09029071934402,6.927204300944293,191.76616223407066,55.12494031513608,5164.091432612705,17047.564802911445
15,pp000091-Pd_20.xyz,-89.86654011,93.18173288431342,55.69441856131196,6.679196986575276,187.22717728250686,53.15136081489734,5189.702433527319,17446.152822222546
16,pp000091-Pd_21.xyz,-89.86609554,92.37798756493162,58.44903093551994,6.927204300944293,191.76616223407066,55.12494031513608,5399.403852943765,17714.97215023364
17,pp000091-Pd_23.xyz,-89.86587904,92.56169345662218,55.35955553484905,6.645195983798877,186.60594131185383,52.88078943180009,5124.17420931155,17272.56193689224
18,pp000091-Pd_22.xyz,-89.86603973,91.26975976898113,58.30984439060752,6.9942062770036655,192.99530460203388,55.65812509947478,5321.925489697421,17614.63508756897
19,pp000091-Pd_9.xyz,-89.86895716,91.77316156345218,57.97847558702944,6.896203386648167,191.1979226026194,54.87824287760625,5320.868007251121,17546.837841606615
20,pp000091-Pd_19.xyz,-89.86825114,89.79258657784581,57.86666045471487,6.886203091713932,191.0146790859767,54.79866305904823,5195.997118850792,17151.702109466994
21,pp000091-Pd_24.xyz,-89.86550909,93.16134630018581,55.42652814014163,6.662196485187076,186.91653385609544,53.01607512334871,5163.609982280728,17413.395939798113
22,pp000091-Pd_18.xyz,-89.8683154,91.39745796883925,59.207859672008944,7.045207781168261,193.93192037189547,56.063982174120646,5411.44786579737,17724.884541006595
23,pp000091-Pd_8.xyz,-89.86903176,90.65788337073064,57.86083674990682,6.905203652088977,191.3628663184451,54.949864714308454,5245.540989805938,17348.552416186314
