,Set,rr_ddg,P2_NMR_cmax,P2_Pd_bond_occ_boltz,NoPd_P_R2_bond_eng_Max_boltz
pp000006-PdCl2,Training,1.78,126.1896,1.855812027177683,-0.4739980095706569
pp000008e-PdCl2,Training,1.89,119.5496,1.855058774380902,-0.4718162887528636
pp000009-PdCl2,Training,1.81,124.9492,1.85548889448407,-0.4712365857529555
pp000015-PdCl2,Training,0.78,106.5721,1.865416963838594,-0.506607928693693
pp000027-PdCl2,Training,0.79,128.6403,1.856708574864851,-0.4854909136827126
pp000033-PdCl2,Training,0.7,135.926,1.856033301439526,-0.4777902362400949
pp000036-PdCl2,Test,1.82,118.3607,1.855574553700902,-0.4758300069774132
pp000039e-PdCl2,Training,0.76,128.7263,1.855823211397313,-0.4739919126603439
pp000052-PdCl2,Training,0.1,144.0995,1.847803433166888,-0.467383063547248
pp000061-PdCl2,Test,1.51,136.6811,1.854237606526364,-0.466459839078171
pp000062-PdCl2,Test,2.21,131.3428,1.855087143845577,-0.468212281360098
pp000068-PdCl2,Training,-0.28,163.7079,1.865903065720165,-0.4711811440334693
pp000076e-PdCl2,Training,1.66,124.0337,1.856027291720726,-0.4700760353228446
pp000098-PdCl2,Training,1.3,128.3533,1.854267676761487,-0.4628521337317458
pp000103-PdCl2,Training,0.1,144.5939,1.854177034813838,-0.4698620500934802
pp000105-PdCl2,Test,0.8,90.1441,1.847976938072879,-0.4837458656102511
pp000118-PdCl2,Test,1.14,115.6122,1.853070600959447,-0.4812291138042326
pp000130-PdCl2,Test,2.08,122.4291,1.854489887977872,-0.4704827721104477
pp000132-PdCl2,Training,2.78,124.9358,1.854479712687071,-0.4704781670376739
pp000149-PdCl2,Training,0.27,142.0841,1.847694304030954,-0.4577611557455516
pp000248-PdCl2,Test,2.75,124.5186,1.853849856270889,-0.4687484212252298
pp000429-PdCl2,Test,-0.25,128.7173,1.848055984249578,-0.4753225156050314
pp000436-PdCl2,Test,0.76,130.2675,1.846283252386337,-0.4742178521766476
pp000437-PdCl2,Test,1.85,129.021,1.85487529891823,-0.4575392492267388
pp000443-PdCl2,Test,2.12,122.0146,1.85571669555281,-0.4708633696171487
pp000444-PdCl2,Test,2.36,121.5834,1.84582917558222,-0.4489260129558571
pp000446-PdCl2,Test,2.67,135.3521,1.850403383977357,-0.4506174632496626
pp000447-PdCl2,Test,2.06,142.1663,1.853110670531683,-0.4477826667280545
pp000449-PdCl2,Test,2.68,139.0821,1.849834005810929,-0.4490864779831736
pp000458-PdCl2,Test,1.31,133.6596,1.854429469447541,-0.4735814624603338
pp000462-PdCl2,Test,2.38,107.181,1.843874115076353,-0.4630413129446434
pp000473-PdCl2,Test,1.7,125.2911,1.856428287968474,-0.4767192200411722
pp000477-PdCl2,Test,1.91,126.4719,1.855156565038828,-0.4743769941311289
pp000478-PdCl2,Test,0.88,90.6469,1.85801,-0.51523
pp000479e-PdCl2,Training,1.23,122.4695,1.854224286727682,-0.4781785717720409
pp000485-PdCl2,Test,1.57,131.9912,1.854267488438921,-0.4748369056965951
pp000515-PdCl2,Test,2.16,137.5075,1.853207597485783,-0.4435480823865667
pp000532-PdCl2,Test,0.57,116.5267,1.845909872277708,-0.482764936138854
pp000533-PdCl2,Test,1.44,115.2347,1.847748806336487,-0.4762596683378761
pp000534-PdCl2,Test,1.27,144.4371,1.84977124608959,-0.4554674273589468
pp000544-PdCl2,Test,1.11,132.1183,1.855817552851343,-0.4700722488109714
pp000565-PdCl2,Test,1.25,99.4857,1.862016914152115,-0.4966147210850907
pp000567-PdCl2,Test,1.13,134.3799,1.854950207798388,-0.4748132859016848
pp000569-PdCl2,Test,1.28,91.8172,1.856478719928618,-0.5125777629186764
pp000570e-PdCl2,Training,-0.18,140.7159,1.849083590186487,-0.4668694227700828
pp000571e-PdCl2,Training,-0.02,141.9788,1.847829674486858,-0.4612801893760605
pp000572e-PdCl2,Training,0.19,143.1365,1.847825751686087,-0.4639300935073049
pp000573-PdCl2,Training,0.98,122.3893,1.848980723215995,-0.4644878437243175
pp000574-PdCl2,Training,1.93,121.1554,1.854391670354193,-0.470466443024736
pp000575e-PdCl2,Training,1.93,120.2505,1.855216675016852,-0.4712583348161882
pp000576e-PdCl2,Training,0.24,143.281,1.850875803328165,-0.465270974876502
pp000597-PdCl2,Test,2.31,133.2362,1.851427198201251,-0.4402971004668657
pp000003-PdCl2,,,146.0494,1.857055000448919,-0.4783075006626287
pp000005-PdCl2,,,109.6674,1.850106207611463,-0.4736991996410702
pp000008-PdCl2,,,119.543,1.855058530888512,-0.471842766918102
pp000013-PdCl2,,,162.7687,1.864826138919792,-0.4476874895798691
pp000020-PdCl2,,,126.6001,1.858591977804467,-0.441205995865091
pp000024-PdCl2,,,115.2841,1.853150050297571,-0.4686270729221759
pp000039-PdCl2,,,128.7204,1.855829796926702,-0.4739883865405166
pp000043-PdCl2,,,145.9684,1.854724693050015,-0.4719286675558173
pp000047-PdCl2,,,161.1596,1.863675996292932,-0.4683499999999999
pp000049-PdCl2,,,146.9555,1.862940126260445,-0.4780141724331932
pp000060-PdCl2,,,168.2045,1.84135,-0.4379444502558377
