,rr_ddg,Set,Aniso_P_NMR_Avg,P_Pd_bond_occ_range,P1-Pd_distance
pp000006-PdCl2,1.78,Training,126.1549,0.0,2.268342094
pp000008e-PdCl2,1.89,Training,119.52115,0.00012,2.268307618
pp000009-PdCl2,1.81,Training,122.51795,0.0,2.267692522
pp000015-PdCl2,0.78,Training,103.8947,0.01153,2.272363564
pp000027-PdCl2,0.79,Training,126.94675,1e-05,2.26873312
pp000033-PdCl2,0.7,Training,129.39755,0.00208,2.272432074
pp000036-PdCl2,1.82,Test,118.31245,0.0,2.265816009
pp000039e-PdCl2,0.76,Training,126.169,0.0,2.268315675
pp000052-PdCl2,0.1,Training,141.32245,0.00148,2.275046261
pp000061-PdCl2,1.51,Test,130.1806,0.00017,2.271753581
pp000062-PdCl2,2.21,Test,125.18075,0.00172,2.271925022
pp000068-PdCl2,-0.28,Training,163.6724,0.0,2.300132051
pp000076e-PdCl2,1.66,Training,121.5323,0.0,2.266703571
pp000098-PdCl2,1.3,Training,122.66165,0.0,2.265734487
pp000103-PdCl2,0.1,Training,134.37505,0.0013,2.264956452
pp000105-PdCl2,0.8,Test,79.0908,0.00075,2.269797089
pp000118-PdCl2,1.14,Test,103.8808,0.00122,2.258582422
pp000130-PdCl2,2.08,Test,121.68165,1e-05,2.266846989
pp000132-PdCl2,2.78,Training,103.0489,0.00285,2.281050877
pp000149-PdCl2,0.27,Training,133.3833,0.00291,2.267792845
pp000248-PdCl2,2.75,Test,121.158,0.00073,2.266506466
pp000429-PdCl2,-0.25,Test,122.95945,0.00235,2.28422756
pp000436-PdCl2,0.76,Test,108.73605,0.00141,2.261540412
pp000437-PdCl2,1.85,Test,105.61865,0.00481,2.262993261
pp000443-PdCl2,2.12,Test,121.7577,0.0,2.266299786
pp000444-PdCl2,2.36,Test,108.09095,0.00515,2.269416836
pp000446-PdCl2,2.67,Test,119.12,0.00803,2.272990989
pp000447-PdCl2,2.06,Test,127.8685,0.00459,2.27967247
pp000449-PdCl2,2.68,Test,119.57435,0.00731,2.272598431
pp000458-PdCl2,1.31,Test,131.9671,6e-05,2.273082388
pp000462-PdCl2,2.38,Test,87.28735,0.00407,2.267082621
pp000473-PdCl2,1.7,Test,127.16275,0.0016,2.2719276
pp000477-PdCl2,1.91,Test,106.6295,0.00272,2.273373961
pp000478-PdCl2,0.88,Test,90.21705,0.0004,2.274739554
pp000479e-PdCl2,1.23,Training,122.41675,0.0,2.261198404
pp000485-PdCl2,1.57,Test,128.8596,0.0,2.275679492
pp000515-PdCl2,2.16,Test,104.98925,0.00568,2.2830978
pp000532-PdCl2,0.57,Test,116.4479,3e-05,2.268206112
pp000533-PdCl2,1.44,Test,115.0597,0.00075,2.275849079
pp000534-PdCl2,1.27,Test,105.76715,0.00866,2.268797411
pp000544-PdCl2,1.11,Test,128.2149,0.0,2.272752525
pp000565-PdCl2,1.25,Test,87.97925,0.00242,2.269292554
pp000567-PdCl2,1.13,Test,120.6022,5e-05,2.263780882
pp000569-PdCl2,1.28,Test,91.1449,0.00099,2.281291258
pp000570e-PdCl2,-0.18,Training,136.93855,0.00063,2.265645976
pp000571e-PdCl2,-0.02,Training,135.1771,0.00067,2.268343821
pp000572e-PdCl2,0.19,Training,138.55555,0.00049,2.268709099
pp000573-PdCl2,0.98,Training,117.63095,0.01142,2.30150174
pp000574-PdCl2,1.93,Training,121.13805,1e-05,2.26823362
pp000575e-PdCl2,1.93,Training,119.59945,0.0001,2.267882219
pp000576e-PdCl2,0.24,Training,139.2555,0.00041,2.268953358
pp000597-PdCl2,2.31,Test,102.90655,0.0055,2.270371334
