Ligand ID,4methylmorpholine_ddg,S_avg_2.5_Ang_crange,P1R2_B1_cavg,P2R1_B5_boltz,P_R2_bond_eng_Min_cavg,Set
pp000001-PdCl2,0.0,3.252376611537962,4.101516432915452,9.071233513701317,-0.5274777777777778,Training
pp000003-PdCl2,-0.06995397751231669,0.01302252897512801,4.942309472901954,10.94390420287576,-0.539266,Training
pp000004-PdCl2,-1.1600916664188068,0.01627816121890646,6.084689486463767,10.91021387856496,-0.5594033333333334,Test
pp000006-PdCl2,0.882892719145574,2.311498893085037,3.424241352852065,9.855849271875254,-0.5207410000000001,Training
pp000008-PdCl2,0.6396665656320916,0.01627816121889936,3.450178526456891,9.842352899727713,-0.51978875,Training
pp000012e-PdCl2,-0.41234046670250885,0.0,3.945367585824746,8.724658928208276,-0.54363,Training
pp000016e-PdCl2,-1.1600916664188068,9.298085688240661,5.252646080393849,10.25028230531508,-0.5191916666666666,Training
pp000017e-PdCl2,-0.46586914244255767,3.766766506055468,4.844231274498727,9.939988473582925,-0.491544,Test
pp000019-PdCl2,0.06995397751231665,0.1334809219950515,6.785094479793651,11.64649215392958,-0.5105980000000001,Training
pp000022e-PdCl2,-0.02329309007669252,1.559447844771448,3.413447177659407,9.6432209305655,-0.5171399999999999,Training
pp000024-PdCl2,0.1404165111168104,0.00325563224377845,5.189411368621161,9.615577353938788,-0.5127266666666667,Training
pp000025-PdCl2,0.7714372927642945,3.297955462950902,4.620494977205072,10.83058508114914,-0.4837,Training
pp000027-PdCl2,0.3350055432244409,2.135694751920823,3.699855191755496,9.86859248588149,-0.5300155555555556,Training
pp000029e-PdCl2,0.49333884029130515,0.003255632243785556,4.635074690605668,9.753165143469046,-0.5215775,Training
pp000043-PdCl2,0.023293090076692544,0.332074488865743,4.403795283375574,9.151934091581674,-0.5206666666666666,Training
pp000045-PdCl2,-0.7369337396055862,2.741242349264226,5.882202837913066,8.892517928315424,-0.51132,Training
pp000050e-PdCl2,-0.26044736003103663,2.653340278682116,4.787849832334611,9.470813582349267,-0.540732,Training
pp000052-PdCl2,0.6396665656320916,3.141685115249388,5.694762927642254,11.35327401859193,-0.50867,Test
pp000055-PdCl2,-0.8442678446842975,6.306159656205239,3.562035305658018,7.93571975600865,-0.5262963636363637,Test
pp000056-PdCl2,0.18793467853580464,0.009766896731349561,3.732314470201059,7.944050113526467,-0.515576,Training
pp000061e-PdCl2,-0.8071693372443121,4.67508790207058,5.907500918441144,10.02962151455493,-0.509764,Training
pp000063-PdCl2,-0.3862027927694395,0.006511264487571111,5.00583858465417,9.324591431970607,-0.541176,Test
pp000068-PdCl2,-0.2850392583725263,3.94908191170726,4.012725879838568,9.568519264054036,-0.5221318181818181,Training
pp000069-PdCl2,-0.4933388402913051,4.629509050657632,5.197144815176014,9.995537645034934,-0.5139876923076924,Test
pp000071-PdCl2,-0.0466048345258336,0.05534574814428339,4.960909382433815,9.229269943067003,-0.508706,Training
pp000076e-PdCl2,-0.7035387163250777,0.3223075921343934,5.074954362204484,8.518950140177623,-0.518514,Training
pp000077-PdCl2,0.49333884029130515,0.1367365542388299,4.894471890794731,10.32562817740173,-0.5152180000000002,Test
pp000078-PdCl2,0.09335944386921317,0.003255632243785556,4.210708674815532,9.54274586438574,-0.5180633333333334,Training
pp000082-PdCl2,-0.6090147728676978,0.00325563224377845,5.668026589203352,8.965871057490208,-0.51065,Training
pp000083-PdCl2,0.5499123939629421,0.0065112644875569,6.064344619200089,13.66042147753857,-0.5094290909090909,Training
pp000085-PdCl2,1.1600916664188068,3.356556843338979,4.217625674774783,7.728565286976235,-0.4842714285714286,Test
pp000096-PdCl2,0.0,1.41945565828884,4.331018456699725,9.558315474555519,-0.5200636363636363,Test
pp000101-PdCl2,0.5213370032440625,2.028258887876028,5.64801344437322,11.43689314723194,-0.51136,Training
pp000103-PdCl2,0.06995397751231665,0.009766896731342456,4.158842037462533,8.072780916556397,-0.51549,Training
pp000105-PdCl2,0.38620279276943925,1.585492902721704,2.886042212284738,9.577786833201747,-0.530308,Training
pp000111e-PdCl2,0.1404165111168104,0.01302252897512801,3.742772816234419,9.076745310994038,-0.5109066666666666,Training
pp000114-PdCl2,0.2604473600310366,1.331553587706729,4.203133588457302,8.000969539994689,-0.4798390909090909,Training
pp000115e-PdCl2,0.23608189700993543,3.28818856621956,4.591281066540288,10.1510744763438,-0.5163,Training
pp000129e-PdCl2,-0.8442678446842975,2.851933845552807,4.891454713137984,8.149211231758828,-0.523073,Training
pp000130e-PdCl2,-0.18793467853580445,0.1790597734079995,5.04800067474,8.220855582213062,-0.518602,Training
pp000134-PdCl2,-0.9232308400619318,1.110170595129581,5.024877401274122,8.38030189028186,-0.5192977777777779,Training
pp000495-PdCl2,0.4388833304249264,2.220341190259141,4.897413744618036,9.234476094731223,-0.5177977777777778,Training
