Ligand ID,4methylmorpholine_ddg,Cl_Pd_distance_range_crange,S_avg_2.5_Ang_crange,P1R2_B1_cavg,P2R1_B5_boltz,Set
pp000001-PdCl2,0,0.023759623,3.252376611537962,4.101516432915452,9.071233513701317,Training
pp000003-PdCl2,-0.069953978,9.270785675541404e-05,0.013022529,4.942309472901954,10.94390420287576,Training
pp000004-PdCl2,-1.160091666,0.000138324,0.016278161,6.084689486463767,10.91021387856496,Test
pp000006-PdCl2,0.882892719,0.018339895,2.311498893085037,3.424241352852065,9.855849271875254,Training
pp000008-PdCl2,0.6396665656320916,0.000118472,0.016278161,3.450178526456891,9.842352899727713,Training
pp000012e-PdCl2,-0.412340467,0,0,3.945367585824746,8.724658928208276,Training
pp000016e-PdCl2,-1.160091666,0.004753751,9.298085688240661,5.252646080393849,10.25028230531508,Training
pp000017e-PdCl2,-0.465869142,0.005474792,3.766766506055468,4.844231274498727,9.939988473582925,Test
pp000019-PdCl2,0.069953978,0.002905889,0.1334809219950515,6.785094479793651,11.64649215392958,Training
pp000022e-PdCl2,-0.02329309,0.003524484,1.559447844771448,3.413447177659407,9.643220931,Training
pp000024-PdCl2,0.1404165111168104,6.417487424492663e-05,0.003255632,5.189411368621161,9.615577353938788,Training
pp000025-PdCl2,0.7714372927642945,0.015292513,3.297955462950902,4.620494977205072,10.83058508114914,Training
pp000027-PdCl2,0.3350055432244409,0.017422955,2.135694751920823,3.699855191755496,9.868592486,Training
pp000029e-PdCl2,0.49333884029130515,2.371655051192079e-05,0.003255632,4.635074690605668,9.753165143469046,Training
pp000043-PdCl2,0.023293090076692544,8.462345991633313e-05,0.332074489,4.403795283375574,9.151934091581674,Training
pp000045-PdCl2,-0.73693374,0.016387743,2.741242349264226,5.882202837913066,8.892517928315424,Training
pp000050e-PdCl2,-0.26044736,0.017702479,2.653340278682116,4.787849832334611,9.470813582349267,Training
pp000052-PdCl2,0.6396665656320916,0.020510827,3.141685115249388,5.694762927642254,11.35327401859193,Test
pp000055-PdCl2,-0.844267845,0.017141302,6.306159656205239,3.562035305658018,7.935719756,Test
pp000056-PdCl2,0.18793467853580464,8.542434789138298e-05,0.009766897,3.732314470201059,7.944050113526467,Training
pp000061e-PdCl2,-0.807169337,0.015642987,4.675087902,5.907500918441144,10.02962151455493,Training
pp000063-PdCl2,-0.386202793,5.278057768043354e-05,0.006511264,5.005838585,9.324591431970607,Test
pp000068-PdCl2,-0.285039258,0.009399274,3.949081912,4.012725879838568,9.568519264054036,Training
pp000069-PdCl2,-0.49333884,0.010440904,4.629509050657632,5.197144815176014,9.995537645034934,Test
pp000071-PdCl2,-0.046604835,0.00092366,0.055345748,4.960909382433815,9.229269943067003,Training
pp000076e-PdCl2,-0.703538716,0.000526067,0.3223075921343934,5.074954362204484,8.518950140177623,Training
pp000077-PdCl2,0.49333884029130515,0.016165248,0.1367365542388299,4.894471890794731,10.32562817740173,Test
pp000078-PdCl2,0.093359444,0.000165747,0.003255632,4.210708674815532,9.542745864,Training
pp000082-PdCl2,-0.609014773,0.000107222,0.003255632,5.668026589203352,8.965871057490208,Training
pp000083-PdCl2,0.5499123939629421,4.237254781891409e-05,0.006511264,6.064344619200089,13.66042147753857,Training
pp000085-PdCl2,1.1600916664188068,0.005807284,3.356556843338979,4.217625674774783,7.728565286976235,Test
pp000096-PdCl2,0,0.000563067,1.419455658,4.331018456699725,9.558315474555519,Test
pp000101-PdCl2,0.5213370032440625,0.024235269,2.028258887876028,5.648013444,11.43689314723194,Training
pp000103-PdCl2,0.069953978,0.000111666,0.009766897,4.158842037462533,8.072780916556397,Training
pp000105-PdCl2,0.38620279276943925,0.003241255,1.585492902721704,2.886042212284738,9.577786833201747,Training
pp000111e-PdCl2,0.1404165111168104,6.576060674579054e-05,0.013022529,3.742772816234419,9.076745310994038,Training
pp000114-PdCl2,0.2604473600310366,0.02544324,1.331553587706729,4.203133588457302,8.000969539994689,Training
pp000115e-PdCl2,0.23608189700993543,0.002145736,3.288188566,4.591281066540288,10.15107448,Training
pp000129e-PdCl2,-0.844267845,0.015166553,2.851933845552807,4.891454713137984,8.149211231758828,Training
pp000130e-PdCl2,-0.187934679,0.001965792,0.1790597734079995,5.048000675,8.220855582213062,Training
pp000134-PdCl2,-0.92323084,0.003077203,1.110170595129581,5.024877401274122,8.38030189,Training
pp000495-PdCl2,0.4388833304249264,0.017272915,2.220341190259141,4.897413744618036,9.234476094731223,Training
