Ligand ID,4methylmorpholine_ddg,NoPd_LP_P_s_Max,P_Cback_bond_eng_range,P1NBO,NoPd_P_Cback_bond_eng_range,NoPd_P_Cback_bond_eng_Min,Set
pp000061e-PdCl2,-0.807169337244312,46.04,0.0,1.10655,0.0,-0.45691,Training
pp000027-PdCl2,0.33500554322444,46.73,1.000000000006551e-05,1.09339,1.000000000001e-05,-0.48358,Training
pp000016e-PdCl2,-1.1600916664188,46.72,0.002510000000000012,1.09232,0.001590000000000036,-0.48847,Training
pp000101-PdCl2,0.521337003244062,46.49,0.008689999999999976,1.10189,0.006479999999999986,-0.46778,Training
pp000006-PdCl2,0.882892719145574,46.57,1.000000000006551e-05,1.09807,9.99999999995449e-06,-0.47139,Training
pp000134-PdCl2,-0.923230840061931,46.37,9.99999999995449e-06,1.09563,2.000000000002e-05,-0.46449,Training
pp000012e-PdCl2,-0.412340466702508,52.04,0.06293999999999994,1.06645,0.07391000000000003,-0.52193,Training
pp000029e-PdCl2,0.493338840291305,49.55,0.04342000000000001,1.08788,0.05410000000000004,-0.49353,Training
pp000043-PdCl2,0.0232930900766925,47.19,0.00757999999999992,1.06673,0.01108999999999999,-0.47424,Training
pp000071-PdCl2,-0.0466048345258336,48.01,0.04029000000000005,1.10113,0.04586000000000001,-0.484,Training
pp000105-PdCl2,0.386202792769439,44.29,0.002489999999999992,1.13626,0.00220999999999999,-0.4714,Training
pp000003-PdCl2,-0.0699539775123166,50.15,0.01707000000000003,1.07903,0.01332,-0.48068,Training
pp000115e-PdCl2,0.236081897009935,46.92,0.007070000000000021,1.09322,0.00989000000000001,-0.49807,Training
pp000025-PdCl2,0.771437292764294,47.78,4.999999999999449e-05,1.12587,2.999999999997449e-05,-0.46967,Training
pp000130e-PdCl2,-0.187934678535804,46.37,0.0,1.09729,1.000000000001e-05,-0.46332,Training
pp000078-PdCl2,0.0933594438692131,49.79,0.003690000000000082,1.07065,0.001450000000000007,-0.45844,Training
pp000050e-PdCl2,-0.260447360031036,46.39,1.000000000006551e-05,1.09909,1.000000000001e-05,-0.48657,Training
pp000056-PdCl2,0.187934678535804,50.02,0.02380000000000004,1.08511,0.02823999999999999,-0.46867,Training
pp000008-PdCl2,0.639666565632091,46.45,0.0003299999999999415,1.09377,0.0004299999999999859,-0.46662,Training
pp000068-PdCl2,-0.285039258372526,46.58,0.0005300000000000304,1.07274,0.0,-0.46431,Training
pp000103-PdCl2,0.0699539775123166,47.02,0.007550000000000057,1.06984,0.01119999999999999,-0.46946,Training
pp000024-PdCl2,0.14041651111681,49.01,0.03729999999999994,1.08345,0.04368,-0.4916,Training
pp000129e-PdCl2,-0.844267844684297,46.38,2.999999999997449e-05,1.09556,3.000000000003e-05,-0.46938,Training
pp000495-PdCl2,0.438883330424926,46.07,0.0,1.10209,0.0,-0.46846,Training
pp000019-PdCl2,0.0699539775123166,45.84,0.001900000000000013,1.10746,0.002900000000000014,-0.48617,Training
pp000111e-PdCl2,0.14041651111681,50.41,0.02888999999999997,1.06146,0.0343,-0.48329,Training
pp000083-PdCl2,0.549912393962942,55.65,0.0,1.1129,0.0,-0.48827,Training
pp000076e-PdCl2,-0.703538716325077,46.53,0.001580000000000026,1.09838,0.00161,-0.46802,Training
pp000082-PdCl2,-0.609014772867697,51.52,0.002840000000000065,1.11926,0.00442999999999999,-0.49849,Training
pp000001-PdCl2,0.0,48.21,0.004750000000000032,1.07513,0.003939999999999999,-0.46796,Training
pp000045-PdCl2,-0.736933739605586,46.18,1.000000000006551e-05,1.09888,1.000000000001e-05,-0.45909,Training
pp000114-PdCl2,0.260447360031036,51.42,0.02097000000000004,1.04333,0.02343000000000001,-0.45705,Training
pp000022e-PdCl2,-0.0232930900766925,47.24,0.01839999999999997,1.09996,0.001850000000000018,-0.46993,Training
pp000085-PdCl2,1.1600916664188,50.98,0.0,1.0774,0.0,-0.48106,Test
pp000063-PdCl2,-0.386202792769439,47.12,0.05325999999999997,1.10811,0.06463999999999998,-0.51664,Test
pp000077-PdCl2,0.493338840291305,46.55,0.006769999999999943,1.08162,0.007879999999999998,-0.4751,Test
pp000017e-PdCl2,-0.465869142442557,48.76,0.008000000000000007,1.08256,0.03482000000000002,-0.46316,Test
pp000096-PdCl2,0.0,47.53,0.008670000000000067,1.08921,0.01189999999999997,-0.48245,Test
pp000069-PdCl2,-0.493338840291305,46.83,0.00385000000000002,1.0657,0.000109999999999999,-0.45928,Test
pp000004-PdCl2,-1.1600916664188,46.82,0.002029999999999976,1.09381,0.001560000000000006,-0.52655,Test
pp000052-PdCl2,0.639666565632091,45.75,0.0008799999999999919,1.11671,0.0007199999999999984,-0.46681,Test
pp000055-PdCl2,-0.844267844684297,48.01,0.00314,1.09864,0.00698,-0.4546,Test
